date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,SubmitStory_http_out_rs,StoreStory_http_out_rs,ViewComment_http_out_rs,PostComment_http_out_rs,StoreComment_http_out_rs,ModerateComment_http_out_rs,StoreModeratorLog_http_out_rs,ReviewStories_http_out_rs,AcceptStory_http_out_rs,RejectStory_http_out_rs,Search_http_out_rs,RegisterUser_http_out_rs,Author_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523213940.000000,0.142256,0.022000,0.000000,0.000000,0.000000,0.066714,0.019000,0.747000,0.077857,0.011000,1.411500,0.000000,0.000000,0.000000,0.000000,0.000000,0.012000,0.745000,0.000000,0.000000,0.000000,0.406511,0.018667,0.000000,0.026000,0.005000,0.016000,0.003000,0.512571,0.030000,0.010000,1.294636,0.000000,0.000000,0.013000,0.000000,0.000000,0.012000,0.418000,0.000000,0.000000,0.000000
1523213940.050000,0.172878,0.027375,0.055000,0.055000,0.027800,0.081937,0.017000,0.726000,0.053800,0.001000,1.389333,0.000000,0.000000,0.000000,0.000000,0.000000,0.017333,0.731000,0.000000,0.000000,0.000000,0.020214,0.022500,0.000000,0.000000,0.032500,0.000000,0.023667,0.000000,0.053000,0.006167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017500,0.000000,0.000000,0.000000,0.000000
1523213940.100000,0.132900,0.015250,0.008000,0.000000,0.021000,0.049429,0.000000,0.671000,0.034750,0.006000,1.327000,0.000000,0.000000,0.000000,1.316000,0.000000,0.006333,0.000000,0.000000,0.000000,0.000000,0.052178,0.022000,0.031500,0.055000,0.023750,0.064538,0.000000,0.000000,0.056750,0.006000,0.000000,0.000000,0.437000,0.000000,0.000000,0.000000,0.003000,0.000000,0.000000,0.000000,0.000000
1523213940.150000,0.069541,0.015111,0.017000,0.009500,0.012000,0.039500,0.008500,0.641500,0.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000,0.006000,0.609000,0.029000,0.000000,0.000000,0.055725,0.017375,0.019000,0.009500,0.004000,0.077412,0.003000,0.471000,0.073000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,0.000000,0.007750,0.000000,0.000000,0.000000,0.000000
1523213940.200000,0.122042,0.020714,0.016000,0.074500,0.022600,0.125937,0.016000,0.584000,0.145250,0.001286,2.268000,0.000000,0.000000,0.007000,0.049000,0.000000,0.019000,0.000000,0.006000,0.000000,0.000000,0.022326,0.011600,0.015000,0.000000,0.014667,0.059000,0.009000,0.000000,0.000000,0.001250,0.000000,0.000000,0.000000,0.007000,0.000000,0.000000,0.008000,0.000000,0.017500,0.000000,0.000000
1523213940.250000,0.115804,0.050714,0.038000,0.059250,0.077000,0.107889,0.058667,0.536000,0.106500,0.001000,1.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037300,0.000000,0.000000,0.000000,0.000000,0.020932,0.019437,0.012500,0.009000,0.029667,0.044600,0.017500,0.000000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.049000,0.000000,0.015364,0.000000,0.000000,0.000000,0.000000
1523213940.300000,0.130000,0.000000,0.077000,0.000000,0.000000,0.183000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052000,0.052000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523213940.350000,0.142500,0.010900,0.005000,0.000000,0.039667,0.040357,0.008000,0.455000,0.059500,0.002000,1.649000,0.000000,0.000000,0.000000,1.142000,0.000000,0.011000,0.000000,0.000000,0.000000,0.000000,0.137164,0.046412,0.049667,0.092000,0.077000,0.103000,0.059000,0.631000,0.114000,0.002000,0.000000,0.000000,0.638000,0.000000,1.233000,0.000000,0.055833,0.628000,0.000000,0.000000,0.000000
1523213940.400000,0.084227,0.010333,0.000000,0.016500,0.023000,0.041100,0.000000,0.408000,0.025250,0.001167,2.093000,0.000000,0.000000,0.000000,0.004000,0.000000,0.016667,0.387000,0.000000,0.000000,0.000000,0.074509,0.010571,0.000000,0.016500,0.030400,0.073056,0.000000,0.633000,0.066125,0.001167,1.266000,0.000000,0.000000,0.000000,0.004000,0.000000,0.014167,0.000000,0.000000,0.000000,0.000000
1523213940.450000,0.093630,0.007000,0.000000,0.006000,0.013500,0.027267,0.000000,0.376500,0.016400,0.001000,1.589500,0.000000,0.470000,0.000000,0.000000,0.000000,0.004250,0.000000,0.000000,0.000000,0.000000,0.080431,0.007778,0.000000,0.005000,0.023000,0.056312,0.000000,0.000000,0.035800,0.001000,1.415000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005750,0.707000,0.000000,0.000000,0.000000
1523213940.500000,0.073597,0.010929,0.017500,0.000000,0.021500,0.020944,0.015000,0.483000,0.021833,0.001667,0.000000,0.000000,0.000000,0.005000,1.052500,0.000000,0.022889,0.501000,0.021000,0.000000,0.000000,0.087462,0.006786,0.004000,0.007000,0.012000,0.040688,0.000000,0.726000,0.019200,0.001667,1.443000,0.000000,0.000000,0.005000,0.000000,0.000000,0.007000,0.728500,0.000000,0.000000,0.000000
1523213940.550000,0.098507,0.013318,0.024000,0.064500,0.000000,0.035375,0.006000,0.459200,0.034200,0.004400,2.945000,0.007000,0.000000,0.000000,0.000000,0.000000,0.021667,0.000000,0.005000,0.000000,0.000000,0.040953,0.013900,0.031000,0.000000,0.036000,0.025895,0.009500,0.000000,0.026250,0.004400,1.392000,0.007000,0.000000,0.000000,0.000000,0.000000,0.026625,0.000000,0.013000,0.000000,0.000000
1523213940.600000,0.144577,0.009214,0.000000,0.000000,0.023000,0.048083,0.004500,0.497000,0.040400,0.001000,1.756500,0.011000,0.000000,0.026000,0.000000,0.455000,0.017400,0.485000,0.000000,0.000000,0.000000,0.048776,0.011950,0.024000,0.029000,0.000000,0.038500,0.005667,0.769500,0.030000,0.001000,0.000000,0.011000,0.000000,0.000000,0.000000,0.000000,0.011833,0.000000,0.000000,0.000000,0.000000
1523213940.650000,0.099741,0.012400,0.000000,0.019750,0.021333,0.023417,0.005000,0.630000,0.012500,0.001000,1.437000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011500,0.583500,0.000000,0.000000,0.000000,0.050245,0.005778,0.000000,0.053000,0.017000,0.034294,0.005000,0.000000,0.038167,0.001000,1.453000,0.000000,0.000000,0.026000,0.000000,0.000000,0.021714,0.000000,0.000000,0.000000,0.000000
1523213940.700000,0.102280,0.004500,0.004500,0.004333,0.000000,0.015000,0.004000,0.000000,0.011500,0.001000,0.000000,0.000000,1.782000,0.004000,0.000000,0.000000,0.004000,0.633000,0.000000,0.000000,0.000000,0.083638,0.013417,0.004500,0.014333,0.029500,0.041182,0.004000,0.831000,0.011500,0.001000,0.000000,0.000000,0.000000,0.004000,1.408000,0.000000,0.012000,0.828000,0.000000,0.000000,0.000000
