date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523214086.350000,142.000000,32.000000,0.000000,8.000000,12.000000,27.000000,0.000000,12.000000,1.000000,0.000000,34.000000,0.000000,4.000000,0.000000,1.000000,2.000000,4.000000,5.000000,0.000000,0.000000,0.000000,0.000000,142.000000
1523214086.400000,142.000000,32.000000,0.000000,8.000000,12.000000,27.000000,0.000000,12.000000,1.000000,0.000000,34.000000,0.000000,4.000000,0.000000,1.000000,2.000000,4.000000,5.000000,0.000000,0.000000,0.000000,0.000000,142.000000
1523214086.450000,160.159995,37.720001,1.540001,8.680004,12.000000,30.980003,0.360004,12.240002,2.880001,0.279998,34.839989,0.000000,4.219997,0.000000,1.000000,2.000000,6.419994,5.000000,0.000000,0.000000,0.000000,0.000000,160.159995
1523214086.500000,207.440031,49.200008,3.120003,10.420002,13.680003,42.340012,1.820000,13.000000,6.759998,0.379994,39.399998,0.080002,5.000000,0.000000,1.500000,2.000000,12.120005,6.500004,0.120003,0.000000,0.000000,0.000000,207.440031
1523214086.550000,216.159988,36.339984,4.900005,6.799999,11.979996,49.959995,0.760002,13.239998,12.279998,0.200000,44.220005,1.000000,5.000000,0.000000,2.000000,2.000000,15.080001,8.400005,2.000000,0.000000,0.000000,0.000000,216.159988
1523214086.600000,185.000009,14.680003,6.400004,3.820004,7.879993,44.899994,1.039998,15.880001,13.419990,0.520000,45.020000,1.000000,5.000000,0.000000,2.000000,2.000000,11.280021,9.000000,1.160000,0.000000,0.000000,0.000000,185.000009
1523214086.650000,147.439990,4.840002,2.879997,2.420003,4.680001,30.220001,1.080002,16.539993,10.839993,0.880001,48.260006,0.839996,5.000000,0.000000,2.000000,2.000000,5.419997,9.539997,0.000000,0.000000,0.000000,0.000000,147.439990
1523214086.700000,125.280011,3.859993,0.099998,0.419994,1.300004,19.080001,0.000000,18.639996,8.359999,0.140004,51.960007,0.000000,5.000000,0.160003,2.300003,2.000000,2.480003,9.480007,0.000000,0.000000,0.000000,0.000000,125.280011
1523214086.750000,121.800016,4.359998,0.260000,0.899994,0.599998,11.600012,0.360003,20.719997,5.560012,0.299997,56.280003,0.000000,5.000000,0.120001,3.000000,1.820000,1.599998,9.320004,0.000000,0.000000,0.000000,0.000000,121.800016
1523214086.800000,111.839985,2.000006,0.000000,0.879996,0.680001,5.739990,0.400000,22.439999,2.679994,0.200000,56.220005,0.000000,4.539997,0.000000,3.000000,1.000000,0.800002,11.000000,0.259995,0.000000,0.000000,0.000000,111.839985
1523214086.850000,125.040003,3.699997,0.420002,0.759998,0.399997,10.340006,0.079999,26.000004,4.280007,0.059996,56.179996,0.000000,5.000000,0.100002,3.000000,1.399998,1.800001,11.420002,0.099998,0.000000,0.000000,0.000000,125.040003
1523214086.900000,139.199973,5.480006,0.579997,0.639999,0.699999,14.739999,0.439999,27.980000,4.000005,0.060000,58.079990,0.000000,5.000000,0.499994,3.000000,2.900002,2.139988,12.539997,0.419998,0.000000,0.000000,0.000000,139.199973
