date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523213940.000000,27,30,4,2,0,1,1,1,2,2,6,10,0,0,3,1,3,2,1,1,1,4,0,0,0,0,0,1,2,0,0,0,1,2,1,1,1,0,0,0,1,2
1523213940.050000,22,8,5,2,1,0,0,0,0,0,2,2,2,0,0,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1
1523213940.100000,23,5,2,0,1,0,0,1,2,0,8,0,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0
1523213940.150000,17,23,5,10,0,0,0,0,1,1,2,2,1,0,0,1,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3
1523213940.200000,25,24,7,5,0,0,0,0,0,2,2,4,0,1,1,1,5,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,1,4
1523213940.250000,26,8,5,1,0,0,0,1,2,1,8,1,0,0,0,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2
1523213940.300000,10,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1523213940.350000,26,14,7,2,0,1,1,1,3,1,6,2,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,1,1
1523213940.400000,46,17,11,5,1,0,0,0,5,0,10,4,1,0,1,1,2,1,2,1,3,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,1,0,0,5,1
1523213940.450000,20,21,3,9,1,0,0,0,0,2,6,3,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,0,0,0,1,1
1523213940.500000,21,20,4,2,0,0,1,1,1,2,3,5,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,1,1,0,0,0,2,3
1523213940.550000,24,23,6,6,0,0,1,0,2,1,5,9,0,1,1,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,1
1523213940.600000,25,16,3,2,0,0,2,0,1,0,4,6,2,2,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,0,0,3,0
1523213940.650000,20,30,4,7,0,0,1,2,1,1,5,6,1,0,2,2,1,4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,2
1523213940.700000,28,11,5,3,2,0,2,0,0,0,2,3,1,0,1,0,2,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0
1523213940.750000,21,30,7,3,1,2,1,2,0,0,3,5,0,3,0,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,3,5
1523213940.800000,16,29,2,6,1,0,0,0,1,1,3,5,2,2,0,6,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,2
1523213940.850000,22,35,6,13,0,1,0,2,1,2,3,3,1,1,1,1,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,2,0,0,2,3
1523213940.900000,16,30,4,9,1,1,0,1,0,3,4,4,1,2,1,0,1,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0
1523213940.950000,19,24,3,2,0,0,1,1,2,1,2,8,1,1,0,0,1,3,2,0,0,1,1,0,0,0,1,0,1,0,0,0,3,4,0,0,0,0,0,0,1,3
1523213941.000000,16,25,2,5,0,1,0,0,0,2,2,7,1,2,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,3
1523213941.050000,23,26,3,4,1,1,0,0,0,2,7,5,2,2,0,2,2,3,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,2,2
1523213941.100000,26,15,2,2,0,0,0,0,3,0,3,2,3,1,0,0,4,5,2,0,2,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,2,3
1523213941.150000,18,24,5,3,2,1,2,1,1,1,3,5,0,1,0,1,0,4,2,3,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
1523213941.200000,17,21,5,3,1,1,1,0,0,3,2,3,0,2,0,0,0,2,1,1,0,1,0,0,0,0,1,0,1,0,0,1,4,2,0,0,0,0,0,0,1,2
1523213941.250000,31,20,4,3,1,2,1,0,2,3,7,5,1,1,1,0,6,1,3,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0
1523213941.300000,22,9,4,1,0,1,0,1,1,0,7,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,3,0
1523213941.350000,23,10,5,3,1,1,3,0,0,0,6,3,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
1523213941.400000,23,30,4,5,1,0,1,2,1,4,2,4,2,0,0,0,3,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,1,3
1523213941.450000,17,23,3,3,1,0,0,1,0,0,2,6,1,2,0,1,2,4,0,1,1,3,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,3,0
1523213941.500000,31,28,8,5,1,0,2,1,0,1,3,4,0,2,0,0,0,3,4,2,2,4,0,0,0,0,0,0,0,0,0,0,7,3,0,2,1,0,0,0,3,1
1523213941.550000,21,25,3,8,1,0,1,0,0,2,5,4,0,1,1,1,1,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,2
1523213941.600000,26,26,4,9,0,0,0,1,0,0,6,0,0,0,1,0,2,1,2,3,2,1,0,0,0,0,2,0,0,0,0,0,1,7,1,0,0,1,0,0,5,3
1523213941.650000,18,21,4,4,0,0,2,2,0,2,4,2,1,0,1,0,0,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,3
1523213941.700000,21,27,2,5,0,0,1,0,2,2,4,7,2,0,0,1,0,0,2,2,2,1,0,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,3,3
1523213941.750000,22,34,8,7,0,3,1,1,1,0,4,6,0,3,1,2,2,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,2
1523213941.800000,21,28,2,4,0,1,0,2,1,1,4,4,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,4,3
