date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523213940.000000,44,47,9,6,0,0,0,1,0,1,14,11,3,1,1,7,7,2,4,1,3,11,0,0,0,0,0,1,0,0,0,0,2,3,1,2,0,0,0,0,0,0
1523213940.050000,50,29,8,12,1,0,1,0,5,2,16,0,1,3,2,0,5,1,3,6,4,1,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0
1523213940.100000,30,46,8,7,1,2,0,1,1,4,7,13,0,0,1,0,4,12,3,3,1,1,0,0,0,1,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0
1523213940.150000,37,41,9,8,2,1,2,2,2,1,10,17,2,1,2,1,0,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,3,4,1,0,1,0,0,0,0,0
1523213940.200000,73,51,21,15,1,1,2,0,5,3,16,12,2,2,1,0,4,0,7,8,4,5,0,0,0,0,1,1,1,0,0,0,7,2,0,0,1,2,0,0,0,0
1523213940.250000,51,44,14,16,2,2,4,2,2,3,9,5,3,2,1,0,2,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,10,11,0,0,0,0,0,0,0,0
1523213940.300000,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523213940.350000,42,64,10,17,1,3,0,4,3,2,14,15,1,3,1,3,4,4,1,1,2,3,0,0,0,1,0,0,1,1,0,0,4,6,0,1,0,0,0,0,0,0
1523213940.400000,46,55,9,7,0,0,2,2,3,5,10,18,0,0,1,1,4,8,6,6,3,1,0,0,0,0,0,0,1,1,0,0,6,6,1,0,0,0,0,0,0,0
1523213940.450000,54,52,10,9,0,0,2,1,2,2,15,16,0,0,2,0,5,5,3,3,2,2,0,0,1,0,0,0,0,0,0,0,12,12,0,2,0,0,0,0,0,0
1523213940.500000,64,52,14,14,2,1,0,1,2,2,18,16,1,0,2,1,6,5,3,3,2,1,0,0,0,0,1,1,2,0,0,0,9,5,1,2,1,0,0,0,0,0
1523213940.550000,70,64,22,20,1,1,2,0,0,1,16,19,2,2,5,0,5,4,5,5,4,1,1,1,0,0,0,0,0,0,0,0,6,8,0,0,1,2,0,0,0,0
1523213940.600000,52,49,14,20,0,1,0,1,2,0,12,8,2,3,3,2,5,5,2,2,2,0,1,1,0,0,1,0,0,0,1,0,5,6,2,0,0,0,0,0,0,0
1523213940.650000,54,53,15,9,0,0,4,2,3,3,12,17,1,1,1,0,2,6,6,6,2,1,0,0,0,0,0,1,0,0,0,0,6,7,2,0,0,0,0,0,0,0
1523213940.700000,25,47,6,12,2,2,3,6,0,2,3,11,2,2,0,1,2,2,1,1,0,0,0,0,1,0,1,1,0,1,0,0,3,5,1,1,0,0,0,0,0,0
1523213940.750000,24,35,4,4,0,0,0,0,0,0,7,5,4,4,0,10,3,3,1,1,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
1523213940.800000,50,50,15,13,1,1,2,2,5,4,5,5,1,1,3,7,5,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,7,6,1,2,0,0,0,0,0,0
1523213940.850000,71,45,24,22,2,2,3,2,2,3,14,0,2,2,1,1,3,0,4,4,6,0,0,0,0,0,1,1,0,0,0,0,9,8,0,0,0,0,0,0,0,0
