date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523215320.000000,54,22,25,6,0,1,1,0,0,0,14,10,0,0,0,0,3,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0
1523215320.050000,38,36,12,21,1,0,3,1,0,0,6,4,1,0,3,0,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0
1523215320.100000,36,40,22,21,1,1,0,3,1,1,5,6,0,1,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0
1523215320.150000,42,41,12,18,0,1,1,0,3,1,10,12,1,1,1,1,2,2,3,3,3,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,0,0,0,0,0
1523215320.200000,42,41,14,11,2,2,2,2,0,2,11,9,1,1,1,1,2,2,3,3,2,0,0,0,0,0,1,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0
1523215320.250000,50,49,16,19,0,0,0,1,3,0,13,15,0,0,2,0,2,3,6,6,2,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,2,1,0,0,0,0
1523215320.300000,44,47,19,19,0,0,0,0,0,3,15,16,1,1,0,1,0,0,2,2,1,0,0,0,0,0,2,0,0,1,0,0,3,3,1,0,0,1,0,0,0,0
1523215320.350000,46,53,15,17,0,0,1,1,3,3,6,11,2,2,2,4,6,6,3,3,3,0,1,1,0,0,0,2,0,0,0,0,3,3,1,0,0,0,0,0,0,0
1523215320.400000,48,41,20,20,0,0,2,2,1,0,11,10,1,1,1,1,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
1523215320.450000,45,45,14,14,1,0,1,1,0,1,12,12,3,3,0,1,2,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,5,6,0,1,1,1,0,0,0,0
1523215320.500000,50,61,20,17,1,2,1,1,0,0,15,14,3,3,0,5,1,1,2,2,3,9,0,0,0,0,0,0,0,1,0,1,4,4,0,1,0,0,0,0,0,0
1523215320.550000,63,65,27,25,0,0,1,0,2,2,16,11,1,1,0,0,4,4,2,2,2,13,1,0,0,0,1,1,0,1,0,0,6,5,0,0,0,0,0,0,0,0
1523215320.600000,66,59,16,19,1,1,3,2,1,0,20,15,1,1,2,0,4,5,4,4,5,2,0,1,0,0,0,0,0,0,0,0,8,9,1,0,0,0,0,0,0,0
1523215320.650000,73,69,18,15,1,1,1,3,5,3,13,18,4,3,1,1,8,4,4,4,3,3,1,1,0,1,1,1,0,0,0,0,13,11,0,0,0,0,0,0,0,0
1523215320.700000,62,61,39,26,1,1,1,1,1,3,9,13,0,1,0,1,4,4,1,1,2,4,0,0,0,1,0,0,0,0,0,0,2,4,2,1,0,0,0,0,0,0
1523215320.750000,41,64,15,37,0,0,2,2,0,1,10,10,2,2,2,0,1,5,3,3,3,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
1523215320.800000,60,47,23,17,0,0,4,4,3,2,12,10,1,1,0,0,2,1,2,2,4,4,0,0,0,0,0,0,1,0,0,0,8,6,0,0,0,0,0,0,0,0
1523215320.850000,55,55,19,17,0,0,1,1,0,1,10,14,3,2,0,1,6,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0
1523215320.900000,64,49,21,24,2,2,4,1,2,0,19,8,2,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0
1523215320.950000,51,59,14,17,2,0,0,3,5,5,16,20,1,0,0,1,2,5,4,4,3,0,0,0,0,0,0,0,0,0,2,0,1,4,1,0,0,0,0,0,0,0
1523215321.000000,61,58,33,29,2,4,0,0,2,4,6,5,2,2,2,4,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,1,1,0,0,0,0
1523215321.050000,40,33,17,23,0,0,2,2,1,1,10,0,2,3,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
