timestamp,pit
1523215187750,63872.0
1523215187800,52858.125
1523215187850,82993.75
1523215187900,22013.4
1523215187950,61343.25
1523215188000,44448.816
1523215188050,78534.4
1523215188100,94874.7
1523215188150,122450.125
1523215188200,90186.57
1523215188250,170444.1
1523215188300,136344.23
1523215188350,145593.83
1523215188400,88111.9
1523215188450,101310.91
1523215188500,122538.42
1523215188550,135355.33
1523215188750,68959.7
1523215188800,80010.3
1523215188850,62902.066
1523215188900,56147.62
1523215188950,124467.42
1523215189000,97505.92
1523215189050,169608.9
1523215189100,207748.16
1523215189150,170158.11
1523215189200,83091.88
1523215189250,122705.055
1523215189300,138225.47
1523215189350,94077.17
1523215189400,81099.84
1523215189450,99140.25
1523215189500,86805.49
1523215189550,85338.91
1523215189600,100472.16
1523215189650,110134.484
1523215189700,191260.61
1523215189750,77130.04
1523215189800,122186.02
1523215189850,95649.77
1523215189900,92946.055
1523215189950,86347.25
1523215190000,106632.87
1523215190050,104025.14
1523215190100,155951.62
1523215190150,71258.08
1523215190200,43549.668
1523215190250,103670.69
1523215190300,92164.5
1523215190350,59529.668
1523215190400,152477.08
1523215190450,108158.0
1523215190500,85685.49
1523215190550,119958.49
1523215190600,143018.78
1523215190650,146795.98
1523215190700,132765.39
1523215190750,71978.66
1523215190800,98053.07
1523215190850,97089.29
1523215190900,105225.51
1523215190950,113620.86
1523215191000,97379.805
1523215191050,142911.61
1523215191100,135258.66
1523215191150,105221.58
1523215191200,103361.445
1523215191250,109908.266
1523215191300,81034.92
1523215191350,100272.33
1523215191400,73651.78
1523215191450,85489.11
1523215191500,124058.234
1523215191550,56291.0
1523215191600,104240.05
1523215191650,89613.59
1523215191700,71274.1
1523215191750,73864.97
1523215191800,67607.82
1523215191850,94541.12
1523215191900,64475.84
1523215191950,68700.0
1523215192000,87818.0
1523215192050,94892.664
1523215192100,177412.23
1523215192150,58908.14
1523215192200,60657.746
1523215192250,60599.977
1523215192300,85677.48
1523215192350,73990.54
1523215192400,87767.66
1523215192450,50866.617
1523215192500,76083.37
1523215192550,52212.465
1523215192600,35590.0
1523215192650,91612.734
1523215192700,35708.062
1523215192750,84389.46
1523215192800,61567.652
1523215192850,63024.332
1523215193000,82367.0
1523215193300,21378.0
1523215193550,35078.5
1523215193750,32068.0
1523215194250,44657.0
1523215194300,16109.0
1523215194550,7655.0
1523215194600,27343.0
1523215194850,37312.0
1523215195000,31952.0
1523215195100,185773.5
1523215195150,56833.832
1523215195300,9764.0
1523215195350,10604.0
1523215195400,24949.0
1523215195600,7619.0
1523215195700,8264.0
1523215195750,17029.0
1523215195900,33043.0
1523215196000,16228.0
1523215196050,52649.0
1523215196150,5200.0
1523215196250,15220.5
1523215196350,70230.664
1523215196450,79769.0
1523215196550,6578.0
1523215196650,19823.0
1523215196700,8986.0
1523215196850,64398.0
1523215196900,41446.0
1523215196950,52629.0
1523215197050,32384.0
1523215197100,63055.5
1523215197200,689.0
1523215197250,5497.0
1523215197300,42985.5
1523215197350,87642.0
1523215197400,16642.0
1523215197600,16751.0
1523215197700,5269.0
1523215197950,16071.0
1523215198100,13304.0
1523215198150,65869.836
1523215198200,47438.625
1523215198250,14855.667
1523215198300,23340.75
1523215198350,16130.0
1523215198450,53703.0
1523215198500,35741.332
1523215198550,16392.0
1523215198600,44604.0
1523215198650,19097.0
1523215198700,20068.0
1523215198800,4465.0
1523215198850,93583.0
1523215198900,53159.5
1523215199000,14679.0
1523215199050,15998.333
1523215199100,3905.0
1523215199150,16256.0
1523215199200,32001.0
1523215199250,24694.5
1523215199300,17463.666
1523215199350,17374.0
1523215199400,66044.0
1523215199450,72487.0
1523215199500,3187.0
1523215199550,4844.0
1523215199600,32136.0
1523215199650,3442.0
1523215199700,3009.0
1523215199750,9266.0
1523215199900,8683.25
1523215200050,111548.0
1523215200100,2394.0
1523215200150,76541.336
1523215200200,50005.5
1523215200250,18917.0
1523215200300,30490.5
1523215200350,16784.834
1523215200400,13231.5
1523215200450,49380.0
1523215200500,1570.0
1523215200600,35575.5
1523215200650,46794.332
1523215200700,9337.0
1523215200750,2294.5
1523215200800,5885.0
1523215200850,1137.0
1523215200900,5385.0
1523215200950,4460.5
1523215201000,16512.0
1523215201050,3605.6667
1523215201100,6993.6665
1523215201200,34326.5
1523215201300,15331.0
1523215201350,8964.333
1523215201400,65363.0
1523215201450,15424.0
1523215201550,6866.5
1523215201600,6967.75
1523215201650,647.0
1523215201700,32328.5
1523215201750,8301.0
1523215201850,1869.0
1523215201950,24428.334
1523215202050,729.5
1523215202100,14282.167
1523215202150,34364.0
1523215202200,36342.0
1523215202250,12511.0
1523215202300,4368.0
1523215202350,32617.0
1523215202400,5639.0
1523215202450,32511.0
1523215202500,22224.4
1523215202550,13930.0
1523215202600,5623.0
1523215202650,4801.3335
1523215202700,17146.0
