date_time,total_http,select_http,SELECT_http,INSERT_http,insert_http,UPDATE_http,update_http,DELETE_http,delete_http,commit;_http,SHOW_http,SET_http,/bin_http,#_http,http_total_longReq,http_adjustLoad
1523215321.500000,13.459956,0.000000,12.679959,0.399994,0.000000,0.380003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.459956
1523215321.550000,2.239977,0.000000,1.399980,0.180001,0.000000,0.639997,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.239977
1523215321.600000,0.019999,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019999
1523215321.650000,0.019999,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019999
1523215321.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523215321.750000,7.599995,0.000000,6.999995,0.000000,0.000000,0.599999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.599995
1523215321.800000,15.460010,0.000000,14.640009,0.299997,0.000000,0.520003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.460010
1523215321.850000,17.739983,0.000000,16.859984,0.000000,0.000000,0.839997,0.000000,0.040001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.739983
1523215321.900000,4.480028,0.000000,3.720021,0.320001,0.000000,0.420006,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.480028
1523215321.950000,9.739995,0.000000,9.160000,0.579995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.739995
1523215322.000000,8.379995,0.000000,7.679997,0.699998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.379995
1523215322.050000,7.439968,0.000000,6.639977,0.799992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.439968
1523215322.100000,21.599968,0.000000,20.879970,0.719998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.599968
1523215322.150000,13.840016,0.000000,13.120023,0.599995,0.000000,0.119999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.840016
1523215322.200000,14.299982,0.000000,13.739984,0.419998,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.299982
1523215322.250000,6.619967,0.000000,5.999970,0.559996,0.000000,0.060001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.619967
1523215322.300000,10.999985,0.000000,10.119984,0.040002,0.000000,0.839999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.999985
1523215322.350000,6.699996,0.000000,5.879994,0.199995,0.000000,0.620007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.699996
1523215322.400000,12.939970,0.000000,12.139972,0.099998,0.000000,0.700001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.939970
1523215322.450000,25.280061,0.000000,24.700060,0.240002,0.000000,0.339999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.280061
1523215322.500000,8.379992,0.000000,7.599997,0.020000,0.000000,0.759995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.379992
1523215322.550000,11.460029,0.000000,10.580018,0.380007,0.000000,0.500004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.460029
1523215322.600000,19.680015,0.000000,18.720017,0.099998,0.000000,0.859999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.680015
1523215322.650000,26.560000,0.000000,25.560000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.560000
1523215322.700000,29.999993,0.000000,28.999993,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.999993
1523215322.750000,31.880016,0.000000,30.960012,0.700006,0.000000,0.219998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.880016
1523215322.800000,25.159986,0.000000,24.219982,0.580001,0.000000,0.340004,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.159986
1523215322.850000,25.219986,0.000000,24.339985,0.880001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.219986
1523215322.900000,19.399999,0.000000,18.479997,0.080002,0.000000,0.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.399999
1523215322.950000,11.899961,0.000000,11.019973,0.179990,0.000000,0.699999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.899961
1523215323.000000,13.799984,0.000000,13.019997,0.779987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.799984
1523215323.050000,13.799982,0.000000,12.959993,0.839989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.799982
1523215323.100000,12.979944,0.000000,12.399940,0.580005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.979944
1523215323.150000,21.340016,0.000000,20.500010,0.840007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.340016
1523215323.200000,15.699988,0.000000,14.779987,0.920001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.699988
1523215323.250000,17.719995,0.000000,16.780000,0.939995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.719995
1523215323.300000,4.360034,0.000000,3.780027,0.560008,0.000000,0.000000,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.360034
1523215323.350000,2.059995,0.000000,1.339994,0.680003,0.000000,0.039997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.059995
1523215323.400000,4.099992,0.000000,3.339987,0.460003,0.000000,0.300002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.099992
1523215323.450000,8.019952,0.000000,7.239947,0.240001,0.000000,0.540004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.019952
1523215323.500000,7.960007,0.000000,7.440011,0.240002,0.000000,0.279994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.960007
1523215323.550000,6.780042,0.000000,6.020051,0.179997,0.000000,0.579993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.780042
1523215323.600000,9.139978,0.000000,8.319980,0.179994,0.000000,0.640005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.139978
1523215323.650000,15.279988,0.000000,14.419988,0.000000,0.000000,0.820004,0.000000,0.039997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.279988
1523215323.700000,19.319955,0.000000,18.399958,0.739999,0.000000,0.160000,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.319955
1523215323.750000,13.559952,0.000000,12.639958,0.480003,0.000000,0.439990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.559952
1523215323.800000,8.279990,0.000000,7.679994,0.160000,0.000000,0.439997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.279990
