date_time,total_http_start,total_http_end,select_http_start,select_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,insert_http_start,insert_http_end,UPDATE_http_start,UPDATE_http_end,update_http_start,update_http_end,DELETE_http_start,DELETE_http_end,delete_http_start,delete_http_end,commit;_http_start,commit;_http_end,SHOW_http_start,SHOW_http_end,SET_http_start,SET_http_end,/bin_http_start,/bin_http_end,#_http_start,#_http_end
1523215320.000000,46,49,0,0,45,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.050000,81,65,0,0,81,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.100000,64,68,0,0,63,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.150000,72,77,0,0,70,75,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.200000,69,71,0,0,69,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.250000,83,80,0,0,82,79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.300000,81,84,0,0,72,75,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.350000,101,95,0,0,93,87,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.400000,91,97,0,0,79,85,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.450000,97,96,0,0,78,77,7,8,0,0,10,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.500000,121,127,0,0,104,110,3,2,0,0,13,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.550000,120,106,0,0,116,102,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.600000,124,130,0,0,116,122,5,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.650000,118,120,0,0,111,112,4,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.700000,92,92,0,0,89,90,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.750000,80,78,0,0,76,74,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.800000,92,90,0,0,90,88,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.850000,95,93,0,0,91,89,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.900000,104,108,0,0,101,105,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215320.950000,99,91,0,0,93,85,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.000000,70,59,0,0,70,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.050000,36,38,0,0,35,37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.100000,98,114,0,0,91,107,3,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.150000,85,94,0,0,72,81,2,2,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.200000,69,72,0,0,51,53,12,12,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.250000,101,101,0,0,82,83,14,13,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.300000,82,83,0,0,60,60,17,18,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.350000,79,72,0,0,57,51,19,18,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.400000,108,106,0,0,102,99,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.450000,117,119,0,0,108,111,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.500000,114,118,0,0,102,106,3,4,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.550000,82,84,0,0,14,16,15,15,0,0,51,51,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.600000,2,3,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.650000,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.750000,97,89,0,0,95,88,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.800000,116,104,0,0,110,98,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.850000,101,115,0,0,99,113,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.900000,95,97,0,0,77,78,12,12,0,0,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1523215321.950000,100,99,0,0,87,87,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.000000,114,111,0,0,105,102,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.050000,114,110,0,0,100,96,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.100000,124,114,0,0,117,106,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.150000,107,116,0,0,100,110,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.200000,100,110,0,0,96,105,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.250000,116,111,0,0,101,97,13,13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.300000,107,111,0,0,91,95,3,3,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.350000,113,114,0,0,92,92,4,4,0,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.400000,88,63,0,0,84,60,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.450000,123,135,0,0,117,128,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.500000,113,126,0,0,96,110,2,1,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.550000,127,114,0,0,118,105,4,5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.600000,103,109,0,0,101,107,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.650000,121,105,0,0,120,104,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.700000,115,112,0,0,115,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.750000,111,113,0,0,108,110,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.800000,99,118,0,0,93,111,3,4,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.850000,113,95,0,0,112,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.900000,106,121,0,0,101,116,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215322.950000,98,107,0,0,88,97,6,5,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.000000,117,115,0,0,107,105,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.050000,111,110,0,0,106,104,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.100000,115,113,0,0,104,103,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.150000,116,103,0,0,110,96,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.200000,111,118,0,0,102,109,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.250000,113,109,0,0,109,106,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.300000,71,86,0,0,52,66,18,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.350000,81,81,0,0,50,50,29,29,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.400000,126,114,0,0,98,87,8,7,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.450000,103,113,0,0,90,99,4,5,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523215323.500000,96,93,0,0,85,83,4,4,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
