workload	timestamp	pit
10000	0	15744.412
10000	50	13575.923
10000	100	18055.0
10000	150	12947.45
10000	200	14455.0625
10000	250	67349.98
10000	300	66657.68
10000	350	128728.3
10000	400	99718.7
10000	450	61931.23
10000	500	94900.61
10000	550	91892.36
10000	600	28632.154
10000	650	14789.059
10000	700	47823.49
10000	750	79714.12
10000	800	77293.7
10000	850	72390.25
10000	900	16696.52
10000	950	50913.883
10000	1000	61623.28
10000	1050	44199.797
10000	1100	59004.832
10000	1150	60746.383
10000	1200	64815.848
10000	1250	61930.832
10000	1300	82161.164
10000	1350	69763.89
10000	1400	62638.02
10000	1450	58883.77
10000	1500	72834.055
10000	1550	70412.4
10000	1600	62962.746
10000	1650	75824.39
10000	1700	73269.2
10000	1750	73139.51
10000	1800	62294.414
10000	1850	81948.61
10000	1900	76919.83
10000	1950	71039.984
10000	2000	69523.13
10000	2050	73469.41
10000	2100	93774.58
10000	2150	56378.62
10000	2200	81616.414
10000	2250	43090.918
10000	2300	65212.0
10000	2350	81320.305
10000	2400	81216.625
10000	2450	62162.05
10000	2500	72228.7
10000	2550	48028.914
10000	2600	61183.41
10000	2650	51158.293
10000	2700	58867.734
10000	2750	38087.03
10000	2800	51789.566
10000	2850	46759.37
10000	2900	44492.9
10000	2950	77232.44
10000	3000	58310.63
10000	3050	58594.117
10000	3100	38968.387
10000	3150	27570.12
10000	3200	39276.75
10000	3250	50402.445
10000	3300	124405.664
10000	3350	60002.145
10000	3400	58805.207
10000	3450	36219.09
10000	3500	20315.236
10000	3550	23623.39
10000	3600	29046.893
10000	3650	79540.64
10000	3700	42289.023
10000	3750	11325.8
10000	3800	50278.043
10000	3850	43268.484
10000	3900	30679.482
10000	3950	679.0
10000	4000	44118.5
10000	4050	40908.1
10000	4100	36206.766
10000	4150	38576.92
10000	4200	38831.668
10000	4250	29524.562
10000	4300	41368.5
10000	4350	6743.0
10000	4400	18630.0
10000	4450	23759.0
10000	4500	22868.0
10000	4550	13890.0
10000	4600	14203.5
10000	4650	6907.0
10000	4700	7765.6665
10000	4750	7844.0
