workload,type,date_time,total_http
10000,Apache,0,986.139999
10000,Apache,50,983.580013
10000,Apache,100,993.760006
10000,Apache,150,1007.320019
10000,Apache,200,1017.480003
10000,Apache,250,1018.400002
10000,Apache,300,1033.400005
10000,Apache,350,1053.119999
10000,Apache,400,1072.940014
10000,Apache,450,1094.620007
10000,Apache,500,1115.760010
10000,Apache,550,1142.239986
10000,Apache,600,1164.320004
10000,Apache,650,1185.180008
10000,Apache,700,1198.099995
10000,Apache,750,1212.079998
10000,Apache,800,1232.879997
10000,Apache,850,1264.680008
10000,Apache,900,1288.320011
10000,Apache,950,1308.599998
10000,Apache,1000,1327.220001
10000,Apache,1050,1349.219997
10000,Apache,1100,1364.300007
10000,Apache,1150,1372.259991
10000,Apache,1200,1385.860004
10000,Apache,1250,1398.619999
10000,Apache,1300,1417.539997
10000,Apache,1350,1432.400032
10000,Apache,1400,1441.500011
10000,Apache,1450,1443.100006
10000,Apache,1500,1441.679985
10000,Apache,1550,1446.459995
10000,Apache,1600,1454.760006
10000,Apache,1650,1456.980000
10000,Apache,1700,1453.700012
10000,Apache,1750,1453.899998
10000,Apache,1800,1452.900002
10000,Apache,1850,1455.000000
10000,Apache,1900,1456.119980
10000,Apache,1950,1467.959988
10000,Apache,2000,1486.160011
10000,Apache,2050,1481.960007
10000,Apache,2100,1468.499992
10000,Apache,2150,1463.479984
10000,Apache,2200,1467.520020
10000,Apache,2250,1466.599998
10000,Apache,2300,1458.940002
10000,Apache,2350,1455.419991
10000,Apache,2400,1463.420021
10000,Apache,2450,1448.079994
10000,Apache,2500,1437.540009
10000,Apache,2550,1425.980000
10000,Apache,2600,1422.539989
10000,Apache,2650,1425.100014
10000,Apache,2700,1416.320007
10000,Apache,2750,1404.379990
10000,Apache,2800,1392.699997
10000,Apache,2850,1383.660007
10000,Apache,2900,1385.879997
10000,Apache,2950,1392.540020
10000,Apache,3000,1396.959995
10000,Apache,3050,1400.419998
10000,Apache,3100,1397.619999
10000,Apache,3150,1394.540009
10000,Apache,3200,1396.340004
10000,Apache,3250,1391.940014
10000,Apache,3300,1389.340000
10000,Apache,3350,1391.180012
10000,Apache,3400,1389.599998
10000,Apache,3450,1391.359997
10000,Apache,3500,1380.240009
10000,Apache,3550,1377.339996
10000,Apache,3600,1379.480003
10000,Apache,3650,1382.480007
10000,Apache,3700,1380.759983
10000,Apache,3750,1370.759991
10000,Apache,3800,1367.719982
10000,Apache,3850,1362.060005
10000,Apache,3900,1351.060001
10000,Apache,3950,1345.000011
10000,Apache,4000,1326.299980
10000,Apache,4050,1309.739990
10000,Apache,4100,1296.439999
10000,Apache,4150,1290.260002
10000,Apache,4200,1281.620018
10000,Apache,4250,1265.619995
10000,Apache,4300,1262.040012
10000,Apache,4350,1264.380013
10000,Apache,4400,1263.200001
10000,Apache,4450,1233.460018
10000,Apache,4500,1210.699993
10000,Apache,4550,1200.520016
10000,Apache,4600,1202.579983
10000,Apache,4650,1208.780003
10000,Apache,4700,1212.180008
10000,Apache,4750,1209.499985
10000,Apache,4800,1193.799984
10000,Apache,4850,1189.980015
10000,Apache,4900,1191.020004
10000,Apache,4950,1199.400021
10000,Apache,5000,1201.499992
10000,Apache,5050,1194.880001
10000,Apache,5100,1192.940022
10000,Apache,5150,1178.860020
10000,Apache,5200,1163.000004
10000,Apache,5250,1147.539997
10000,Apache,5300,1127.379990
10000,Apache,5350,1118.579990
10000,Apache,5400,1107.760021
10000,Apache,5450,1097.680023
10000,Apache,5500,1082.720016
10000,Apache,5550,1075.459991
10000,Apache,5600,1078.319992
10000,Apache,5650,1078.420006
10000,Apache,5700,1073.659992
10000,Apache,5750,1066.259991
10000,Apache,5800,1046.059990
10000,Apache,5850,1034.659996
10000,Apache,5900,1031.039986
10000,Apache,5950,1023.740013
10000,Apache,6000,1019.840038
10000,Apache,6050,1015.560024
10000,Apache,6100,1016.260010
10000,Apache,6150,1017.020000
10000,Apache,6200,1012.800003
10000,Apache,6250,1016.419987
10000,Apache,6300,1007.139996
10000,Apache,6350,990.840008
10000,Apache,6400,980.719990
10000,Apache,6450,968.499996
10000,Apache,6500,962.580002
10000,Apache,6550,956.799988
