workload,type,date_time,epoc_time,total_http
10000,cjdbc,99250,1523211099.250000,95.159989
10000,cjdbc,99300,1523211099.300000,92.899991
10000,cjdbc,99350,1523211099.350000,91.959984
10000,cjdbc,99400,1523211099.400000,91.240000
10000,cjdbc,99450,1523211099.450000,91.799992
10000,cjdbc,99500,1523211099.500000,95.479977
10000,cjdbc,99550,1523211099.550000,97.019998
10000,cjdbc,99600,1523211099.600000,94.899995
10000,cjdbc,99650,1523211099.650000,102.180006
10000,cjdbc,99700,1523211099.700000,104.099954
10000,cjdbc,99750,1523211099.750000,104.780001
10000,cjdbc,99800,1523211099.800000,103.739997
10000,cjdbc,99850,1523211099.850000,98.819990
10000,cjdbc,99900,1523211099.900000,97.499982
10000,cjdbc,99950,1523211099.950000,93.019994
10000,cjdbc,100000,1523211100.000000,107.460006
10000,cjdbc,100050,1523211100.050000,134.539990
10000,cjdbc,100100,1523211100.100000,149.399973
10000,cjdbc,100150,1523211100.150000,173.379986
10000,cjdbc,100200,1523211100.200000,184.299983
10000,cjdbc,100250,1523211100.250000,192.459997
10000,cjdbc,100300,1523211100.300000,208.959991
10000,cjdbc,100350,1523211100.350000,227.380004
10000,cjdbc,100400,1523211100.400000,227.839982
10000,cjdbc,100450,1523211100.450000,221.399975
10000,cjdbc,100500,1523211100.500000,192.200019
10000,cjdbc,100550,1523211100.550000,164.620013
10000,cjdbc,100600,1523211100.600000,153.399987
10000,cjdbc,100650,1523211100.650000,151.060023
10000,cjdbc,100700,1523211100.700000,152.300007
10000,cjdbc,100750,1523211100.750000,156.719972
10000,cjdbc,100800,1523211100.800000,164.919996
10000,cjdbc,100850,1523211100.850000,192.440008
10000,cjdbc,100900,1523211100.900000,211.080002
10000,cjdbc,100950,1523211100.950000,213.000000
10000,cjdbc,101000,1523211101.000000,213.000000
10000,cjdbc,101050,1523211101.050000,210.999994
10000,cjdbc,101100,1523211101.100000,207.639988
10000,cjdbc,101150,1523211101.150000,209.459974
10000,cjdbc,101200,1523211101.200000,206.640010
10000,cjdbc,101250,1523211101.250000,202.159968
10000,cjdbc,101300,1523211101.300000,188.720003
10000,cjdbc,101350,1523211101.350000,177.619997
10000,cjdbc,101400,1523211101.400000,174.099958
10000,cjdbc,101450,1523211101.450000,162.480005
10000,cjdbc,101500,1523211101.500000,151.839986
10000,cjdbc,101550,1523211101.550000,145.200040
10000,cjdbc,101600,1523211101.600000,133.080011
10000,cjdbc,101650,1523211101.650000,130.920018
10000,cjdbc,101700,1523211101.700000,135.500044
10000,cjdbc,101750,1523211101.750000,133.299991
10000,cjdbc,101800,1523211101.800000,127.559975
10000,cjdbc,101850,1523211101.850000,118.139998
10000,cjdbc,101900,1523211101.900000,114.280019
10000,cjdbc,101950,1523211101.950000,114.079982
10000,cjdbc,102000,1523211102.000000,117.379995
10000,cjdbc,102050,1523211102.050000,120.040011
10000,cjdbc,102100,1523211102.100000,117.679989
10000,cjdbc,102150,1523211102.150000,121.920027
10000,cjdbc,102200,1523211102.200000,120.439993
10000,cjdbc,102250,1523211102.250000,128.160011
10000,cjdbc,102300,1523211102.300000,122.479985
10000,cjdbc,102350,1523211102.350000,118.680003
10000,cjdbc,102400,1523211102.400000,111.419990
10000,cjdbc,102450,1523211102.450000,106.439975
10000,cjdbc,102500,1523211102.500000,104.739973
10000,cjdbc,102550,1523211102.550000,107.940030
10000,cjdbc,102600,1523211102.600000,106.460000
10000,cjdbc,102650,1523211102.650000,106.040028
10000,cjdbc,102700,1523211102.700000,110.559989
10000,cjdbc,102750,1523211102.750000,116.260011
10000,cjdbc,102800,1523211102.800000,115.120016
10000,cjdbc,102850,1523211102.850000,107.880007
10000,cjdbc,102900,1523211102.900000,102.460018
10000,cjdbc,102950,1523211102.950000,101.840001
10000,cjdbc,103000,1523211103.000000,100.019986
10000,cjdbc,103050,1523211103.050000,94.820008
10000,cjdbc,103100,1523211103.100000,93.940010
10000,cjdbc,103150,1523211103.150000,93.659981
10000,cjdbc,103200,1523211103.200000,98.699981
10000,cjdbc,103250,1523211103.250000,100.299985
10000,cjdbc,103300,1523211103.300000,97.919998
10000,cjdbc,103350,1523211103.350000,98.580026
10000,cjdbc,103400,1523211103.400000,103.659987
