date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523212441.500000,55,48,9,12,1,1,2,2,5,2,12,10,1,1,0,1,5,7,5,5,5,0,0,0,0,0,0,0,0,0,1,1,7,6,2,0,0,0,0,0,0,0
1523212441.550000,59,56,9,11,1,0,5,3,5,6,12,15,3,1,1,4,5,4,5,5,4,0,0,0,0,0,1,0,0,2,0,0,7,5,1,0,0,0,0,0,0,0
1523212441.600000,65,53,18,10,3,3,4,7,3,4,18,12,2,2,0,0,2,3,3,3,2,0,0,0,2,0,0,1,0,0,0,0,7,8,0,0,1,0,0,0,0,0
1523212441.650000,54,52,11,18,4,5,3,2,3,2,15,12,1,3,2,0,3,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,7,6,0,0,1,2,0,0,0,0
1523212441.700000,61,61,17,14,1,1,1,3,4,6,9,17,1,1,6,0,6,4,3,3,3,0,0,0,0,0,0,1,0,0,0,0,8,11,2,0,0,0,0,0,0,0
1523212441.750000,53,55,14,16,1,1,4,4,1,1,15,12,0,0,1,1,3,8,6,6,2,1,0,0,0,0,3,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0
1523212441.800000,44,44,9,10,1,1,1,0,1,1,12,14,1,1,1,3,5,3,1,1,2,1,2,2,0,0,1,2,1,0,0,0,5,5,1,0,0,0,0,0,0,0
1523212441.850000,58,57,16,14,2,2,6,6,1,1,8,10,2,2,1,2,4,3,4,4,5,4,0,0,0,0,1,1,0,0,0,0,7,6,0,1,1,1,0,0,0,0
1523212441.900000,43,44,8,12,1,1,0,1,2,2,13,10,0,0,3,2,4,5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,0,0,0
1523212441.950000,49,50,15,13,1,1,2,1,1,1,6,11,1,1,2,4,3,2,4,3,3,1,0,0,0,0,2,2,0,1,0,0,8,6,0,2,1,1,0,0,0,0
1523212442.000000,30,56,7,8,1,1,2,3,1,1,7,9,1,1,0,0,3,6,2,3,1,13,0,0,0,0,0,0,0,1,0,0,5,7,0,3,0,0,0,0,0,0
1523212442.050000,11,39,3,4,0,0,0,0,0,0,4,5,2,2,1,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1523212442.100000,54,63,8,6,1,0,0,0,0,0,14,8,4,2,1,8,7,3,5,5,2,21,1,1,0,0,1,1,1,1,0,0,7,5,2,2,0,0,0,0,0,0
1523212442.150000,71,58,14,11,0,1,7,4,1,1,21,12,2,4,2,1,7,5,6,6,4,4,0,0,0,0,2,2,0,0,1,0,4,6,0,1,0,0,0,0,0,0
1523212442.200000,63,56,13,13,0,0,5,7,5,3,19,16,1,1,0,0,4,5,3,3,4,0,0,0,0,0,0,0,0,1,0,0,9,7,0,0,0,0,0,0,0,0
