date_time,total_http_start,total_http_end,select_http_start,select_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,insert_http_start,insert_http_end,UPDATE_http_start,UPDATE_http_end,update_http_start,update_http_end,DELETE_http_start,DELETE_http_end,delete_http_start,delete_http_end,commit;_http_start,commit;_http_end,SHOW_http_start,SHOW_http_end,SET_http_start,SET_http_end,/bin_http_start,/bin_http_end,#_http_start,#_http_end
1523212440.000000,82,75,0,0,74,67,2,2,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.050000,79,90,0,0,72,83,3,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.100000,83,78,0,0,67,61,5,5,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.150000,53,54,0,0,48,49,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.200000,95,82,0,0,93,80,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.250000,64,73,0,0,63,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.300000,95,91,0,0,87,83,1,2,0,0,6,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.350000,118,127,0,0,95,104,3,3,0,0,19,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.400000,123,114,0,0,98,88,7,7,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.450000,111,112,0,0,105,107,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.500000,110,112,0,0,101,103,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.550000,95,99,0,0,83,87,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.600000,106,96,0,0,94,84,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.650000,118,118,0,0,110,110,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.700000,101,112,0,0,89,100,11,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.750000,125,113,0,0,116,104,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.800000,124,124,0,0,121,121,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.850000,64,69,0,0,62,66,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.900000,109,115,0,0,89,96,18,17,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212440.950000,115,109,0,0,101,95,7,8,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212441.000000,123,120,0,0,113,110,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
