date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1523213220.000000,53,50,53,50,0,0,0,0,0,0
1523213220.050000,31,32,31,32,0,0,0,0,0,0
1523213220.100000,24,40,24,40,0,0,0,0,0,0
1523213220.150000,19,22,19,22,0,0,0,0,0,0
1523213220.200000,41,40,41,40,0,0,0,0,0,0
1523213220.250000,71,44,71,44,0,0,0,0,0,0
1523213220.300000,74,84,74,84,0,0,0,0,0,0
1523213220.350000,52,95,52,95,0,0,0,0,0,0
1523213220.400000,73,74,73,74,0,0,0,0,0,0
1523213220.450000,93,68,93,68,0,0,0,0,0,0
1523213220.500000,101,66,101,66,0,0,0,0,0,0
1523213220.550000,66,68,66,68,0,0,0,0,0,0
1523213220.600000,55,99,55,99,0,0,0,0,0,0
1523213220.650000,72,74,72,74,0,0,0,0,0,0
1523213220.700000,74,67,74,67,0,0,0,0,0,0
1523213220.750000,81,75,81,75,0,0,0,0,0,0
1523213220.800000,38,47,38,47,0,0,0,0,0,0
1523213220.850000,97,74,97,74,0,0,0,0,0,0
1523213220.900000,80,69,80,69,0,0,0,0,0,0
1523213220.950000,81,81,81,81,0,0,0,0,0,0
1523213221.000000,44,86,44,86,0,0,0,0,0,0
1523213221.050000,74,68,74,68,0,0,0,0,0,0
1523213221.100000,93,75,93,75,0,0,0,0,0,0
1523213221.150000,66,70,66,70,0,0,0,0,0,0
1523213221.200000,90,66,90,66,0,0,0,0,0,0
1523213221.250000,82,62,82,62,0,0,0,0,0,0
1523213221.300000,54,76,54,76,0,0,0,0,0,0
1523213221.350000,71,83,71,83,0,0,0,0,0,0
1523213221.400000,101,72,101,72,0,0,0,0,0,0
1523213221.450000,79,80,79,80,0,0,0,0,0,0
1523213221.500000,45,69,45,69,0,0,0,0,0,0
1523213221.550000,102,72,102,72,0,0,0,0,0,0
1523213221.600000,52,74,52,74,0,0,0,0,0,0
1523213221.650000,103,79,103,79,0,0,0,0,0,0
1523213221.700000,83,83,83,83,0,0,0,0,0,0
