date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1523213222.650000,0.019697,0.019697,0.000000,0.000000,0.000000,0.026791,0.026791,0.000000,0.000000,0.000000
1523213222.700000,0.024476,0.024476,0.000000,0.000000,0.000000,0.014333,0.014333,0.000000,0.000000,0.000000
1523213222.750000,0.027614,0.027614,0.000000,0.000000,0.000000,0.018595,0.018595,0.000000,0.000000,0.000000
1523213222.800000,0.020456,0.020456,0.000000,0.000000,0.000000,0.022091,0.022091,0.000000,0.000000,0.000000
1523213222.850000,0.013767,0.013767,0.000000,0.000000,0.000000,0.035000,0.035000,0.000000,0.000000,0.000000
1523213222.900000,0.012353,0.012353,0.000000,0.000000,0.000000,0.014537,0.014537,0.000000,0.000000,0.000000
1523213222.950000,0.023750,0.023750,0.000000,0.000000,0.000000,0.023070,0.023070,0.000000,0.000000,0.000000
1523213223.000000,0.034104,0.034104,0.000000,0.000000,0.000000,0.024865,0.024865,0.000000,0.000000,0.000000
1523213223.050000,0.037345,0.037345,0.000000,0.000000,0.000000,0.025735,0.025735,0.000000,0.000000,0.000000
1523213223.100000,0.019568,0.019568,0.000000,0.000000,0.000000,0.019744,0.019744,0.000000,0.000000,0.000000
1523213223.150000,0.017524,0.017524,0.000000,0.000000,0.000000,0.054726,0.054726,0.000000,0.000000,0.000000
1523213223.200000,0.055128,0.055128,0.000000,0.000000,0.000000,0.009113,0.009113,0.000000,0.000000,0.000000
1523213223.250000,0.081784,0.081784,0.000000,0.000000,0.000000,0.014739,0.014739,0.000000,0.000000,0.000000
1523213223.300000,0.058400,0.058400,0.000000,0.000000,0.000000,0.088267,0.088267,0.000000,0.000000,0.000000
1523213223.350000,0.031865,0.031865,0.000000,0.000000,0.000000,0.056102,0.056102,0.000000,0.000000,0.000000
1523213223.400000,0.026649,0.026649,0.000000,0.000000,0.000000,0.082532,0.082532,0.000000,0.000000,0.000000
1523213223.450000,0.020652,0.020652,0.000000,0.000000,0.000000,0.028405,0.028405,0.000000,0.000000,0.000000
1523213223.500000,0.041843,0.041843,0.000000,0.000000,0.000000,0.031961,0.031961,0.000000,0.000000,0.000000
1523213223.550000,0.042491,0.042491,0.000000,0.000000,0.000000,0.022606,0.022606,0.000000,0.000000,0.000000
1523213223.600000,0.030661,0.030661,0.000000,0.000000,0.000000,0.035122,0.035122,0.000000,0.000000,0.000000
1523213223.650000,0.045773,0.045773,0.000000,0.000000,0.000000,0.051123,0.051123,0.000000,0.000000,0.000000
1523213223.700000,0.015294,0.015294,0.000000,0.000000,0.000000,0.039353,0.039353,0.000000,0.000000,0.000000
1523213223.750000,0.025418,0.025418,0.000000,0.000000,0.000000,0.042415,0.042415,0.000000,0.000000,0.000000
1523213223.800000,0.012855,0.012855,0.000000,0.000000,0.000000,0.021364,0.021364,0.000000,0.000000,0.000000
1523213223.850000,0.033188,0.033188,0.000000,0.000000,0.000000,0.015329,0.015329,0.000000,0.000000,0.000000
1523213223.900000,0.043804,0.043804,0.000000,0.000000,0.000000,0.013708,0.013708,0.000000,0.000000,0.000000
1523213223.950000,0.019986,0.019986,0.000000,0.000000,0.000000,0.021741,0.021741,0.000000,0.000000,0.000000
1523213224.000000,0.030329,0.030329,0.000000,0.000000,0.000000,0.038152,0.038152,0.000000,0.000000,0.000000
1523213224.050000,0.040195,0.040195,0.000000,0.000000,0.000000,0.033446,0.033446,0.000000,0.000000,0.000000
1523213224.100000,0.020263,0.020263,0.000000,0.000000,0.000000,0.045718,0.045718,0.000000,0.000000,0.000000
1523213224.150000,0.024534,0.024534,0.000000,0.000000,0.000000,0.036651,0.036651,0.000000,0.000000,0.000000
1523213224.200000,0.055070,0.055070,0.000000,0.000000,0.000000,0.027213,0.027213,0.000000,0.000000,0.000000
1523213224.250000,0.062790,0.062790,0.000000,0.000000,0.000000,0.034606,0.034606,0.000000,0.000000,0.000000
1523213224.300000,0.048614,0.048614,0.000000,0.000000,0.000000,0.032277,0.032277,0.000000,0.000000,0.000000
1523213224.350000,0.046958,0.046958,0.000000,0.000000,0.000000,0.042437,0.042437,0.000000,0.000000,0.000000
1523213224.400000,0.065625,0.065625,0.000000,0.000000,0.000000,0.061385,0.061385,0.000000,0.000000,0.000000
1523213224.450000,0.029676,0.029676,0.000000,0.000000,0.000000,0.060778,0.060778,0.000000,0.000000,0.000000
