date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523214660.000000,1.714000,1.605000,0.000000,0.000000,1.823000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.100000,1.715000,0.000000,0.000000,0.000000,0.000000,0.000000,1.452000,0.000000,1.846500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.282667,1.819000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.014500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.622333,2.341000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.263000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.200000,1.743000,1.743000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.250000,1.758500,2.083000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.434000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.980000,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.300000,2.158000,2.158000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.361000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.361000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.350000,1.162000,0.666000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.435000,0.000000,0.000000,0.000000,0.000000,0.000000,1.385000,1.341000,1.329000,0.000000,0.000000,0.000000,0.000000,0.000000,1.353000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.400000,0.998000,0.732000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.264000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.078500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.078500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523214660.450000,0.448000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.448000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.187667,0.919000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.322000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
