date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1523214660.000000,13,18,13,18,0,0,0,0,0,0
1523214660.050000,22,14,22,14,0,0,0,0,0,0
1523214660.100000,25,17,25,17,0,0,0,0,0,0
1523214660.150000,17,17,17,17,0,0,0,0,0,0
1523214660.200000,20,20,20,20,0,0,0,0,0,0
1523214660.250000,26,32,26,32,0,0,0,0,0,0
1523214660.300000,32,39,32,39,0,0,0,0,0,0
1523214660.350000,37,41,37,41,0,0,0,0,0,0
1523214660.400000,35,32,35,32,0,0,0,0,0,0
1523214660.450000,42,27,42,27,0,0,0,0,0,0
1523214660.500000,49,33,49,33,0,0,0,0,0,0
1523214660.550000,34,55,34,55,0,0,0,0,0,0
1523214660.600000,38,45,38,45,0,0,0,0,0,0
1523214660.650000,35,39,35,39,0,0,0,0,0,0
1523214660.700000,39,39,39,39,0,0,0,0,0,0
1523214660.750000,41,39,41,39,0,0,0,0,0,0
1523214660.800000,44,39,44,39,0,0,0,0,0,0
1523214660.850000,40,37,40,37,0,0,0,0,0,0
1523214660.900000,42,37,42,37,0,0,0,0,0,0
1523214660.950000,40,44,40,44,0,0,0,0,0,0
1523214661.000000,34,46,34,46,0,0,0,0,0,0
1523214661.050000,49,45,49,45,0,0,0,0,0,0
1523214661.100000,37,35,37,35,0,0,0,0,0,0
1523214661.150000,31,29,31,29,0,0,0,0,0,0
1523214661.200000,46,38,46,38,0,0,0,0,0,0
1523214661.250000,25,39,25,39,0,0,0,0,0,0
1523214661.300000,40,41,40,41,0,0,0,0,0,0
1523214661.350000,47,41,47,41,0,0,0,0,0,0
1523214661.400000,31,31,31,31,0,0,0,0,0,0
1523214661.450000,42,37,42,37,0,0,0,0,0,0
1523214661.500000,28,34,28,34,0,0,0,0,0,0
1523214661.550000,66,54,66,54,0,0,0,0,0,0
1523214661.600000,36,50,36,50,0,0,0,0,0,0
1523214661.650000,56,30,56,30,0,0,0,0,0,0
1523214661.700000,22,43,22,43,0,0,0,0,0,0
1523214661.750000,41,42,41,42,0,0,0,0,0,0
1523214661.800000,45,42,45,42,0,0,0,0,0,0
1523214661.850000,51,50,51,50,0,0,0,0,0,0
1523214661.900000,40,53,40,53,0,0,0,0,0,0
1523214661.950000,57,61,57,61,0,0,0,0,0,0
1523214662.000000,38,41,38,41,0,0,0,0,0,0
1523214662.050000,35,32,35,32,0,0,0,0,0,0
1523214662.100000,51,44,51,44,0,0,0,0,0,0
1523214662.150000,41,33,41,33,0,0,0,0,0,0
1523214662.200000,33,35,33,35,0,0,0,0,0,0
1523214662.250000,29,31,29,31,0,0,0,0,0,0
1523214662.300000,41,23,41,23,0,0,0,0,0,0
1523214662.350000,57,49,57,49,0,0,0,0,0,0
1523214662.400000,15,56,15,56,0,0,0,0,0,0
1523214662.450000,42,28,42,28,0,0,0,0,0,0
1523214662.500000,33,29,33,29,0,0,0,0,0,0
1523214662.550000,36,47,36,47,0,0,0,0,0,0
1523214662.600000,52,44,52,44,0,0,0,0,0,0
1523214662.650000,43,50,43,50,0,0,0,0,0,0
1523214662.700000,50,37,50,37,0,0,0,0,0,0
1523214662.750000,44,38,44,38,0,0,0,0,0,0
1523214662.800000,56,42,56,42,0,0,0,0,0,0
1523214662.850000,32,57,32,57,0,0,0,0,0,0
1523214662.900000,44,55,44,55,0,0,0,0,0,0
1523214662.950000,35,39,35,39,0,0,0,0,0,0
1523214663.000000,40,29,40,29,0,0,0,0,0,0
1523214663.050000,29,40,29,40,0,0,0,0,0,0
1523214663.100000,45,37,45,37,0,0,0,0,0,0
1523214663.150000,44,44,44,44,0,0,0,0,0,0
1523214663.200000,37,25,37,25,0,0,0,0,0,0
1523214663.250000,38,52,38,52,0,0,0,0,0,0
1523214663.300000,38,39,38,39,0,0,0,0,0,0
1523214663.350000,35,18,35,18,0,0,0,0,0,0
1523214663.400000,35,45,35,45,0,0,0,0,0,0
1523214663.450000,38,28,38,28,0,0,0,0,0,0
1523214663.500000,42,46,42,46,0,0,0,0,0,0
1523214663.550000,47,50,47,50,0,0,0,0,0,0
1523214663.600000,39,40,39,40,0,0,0,0,0,0
1523214663.650000,38,36,38,36,0,0,0,0,0,0
1523214663.700000,58,61,58,61,0,0,0,0,0,0
1523214663.750000,34,42,34,42,0,0,0,0,0,0
1523214663.800000,36,31,36,31,0,0,0,0,0,0
1523214663.850000,45,35,45,35,0,0,0,0,0,0
1523214663.900000,31,32,31,32,0,0,0,0,0,0
1523214663.950000,46,33,46,33,0,0,0,0,0,0
1523214664.000000,31,34,31,34,0,0,0,0,0,0
1523214664.050000,34,38,34,38,0,0,0,0,0,0
1523214664.100000,46,47,46,47,0,0,0,0,0,0
1523214664.150000,23,39,23,39,0,0,0,0,0,0
1523214664.200000,39,27,39,27,0,0,0,0,0,0
