date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523214660.000000,108.059994,18.039997,0.000000,0.000000,3.000000,0.000000,0.000000,70.279995,15.740002,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.059994
1523214660.050000,109.000009,18.840004,0.000000,0.000000,3.200000,0.000000,0.000000,69.879998,16.060006,1.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000009
1523214660.100000,109.440009,18.480000,0.000000,0.000000,3.000000,0.000000,0.000000,70.160001,15.040009,2.759999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.440009
1523214660.150000,111.220005,19.279999,0.000000,0.000000,3.160004,0.000000,0.380001,70.900002,14.959999,2.540001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.220005
1523214660.200000,112.519998,19.440002,0.000000,0.000000,4.000000,0.000000,0.000000,71.600002,14.639997,2.839996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.519998
1523214660.250000,110.760011,18.700001,0.000000,0.000000,4.000000,0.000000,0.000000,71.880002,14.180008,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.760011
1523214660.300000,110.860003,19.580012,0.000000,0.000000,4.660004,0.000000,0.000000,71.699997,12.979992,1.939999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.860003
1523214660.350000,110.540001,20.779993,0.000000,0.000000,3.719994,0.000000,0.059998,71.680007,13.300010,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.540001
1523214660.400000,107.619984,21.359997,0.000000,0.000000,1.140003,0.000000,0.140000,71.059990,12.759995,1.159998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.619984
1523214660.450000,108.340010,21.600001,0.000000,0.000000,1.000000,0.000000,0.260000,70.580003,14.500004,0.400002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.340010
1523214660.500000,110.619998,22.879993,0.000000,0.000000,1.080002,0.000000,0.599999,70.360006,14.939999,0.759998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.619998
1523214660.550000,112.459997,22.039997,0.000000,0.000000,2.220001,0.000000,1.000000,70.419997,15.780002,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.459997
1523214660.600000,112.980002,20.759995,0.000000,0.000000,3.320000,0.000000,1.000000,68.960007,18.179999,0.760002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.980002
1523214660.650000,112.979997,19.759991,0.000000,0.000000,4.000000,0.000000,0.419998,69.000002,19.720007,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.979997
