date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523211222.350000,78.619984,2.299993,0.359997,0.279996,1.180005,11.440001,0.499996,12.699999,3.680010,0.000000,35.219995,0.079999,3.059998,0.320001,2.100002,0.000000,0.699995,4.699998,0.000000,0.000000,0.000000,0.000000,78.619984
1523211222.400000,71.699988,1.600000,0.340000,0.280002,0.099998,5.820001,0.479995,10.019997,1.379999,0.000000,38.339993,0.000000,4.480006,0.000000,2.000000,0.000000,1.760002,5.079998,0.019999,0.000000,0.000000,0.000000,71.699988
1523211222.450000,70.440002,1.360006,0.099998,0.700004,0.219996,3.580010,0.219999,6.960003,0.619999,0.000000,41.099998,0.000000,6.000000,0.079999,2.000000,0.120001,1.059988,6.320001,0.000000,0.000000,0.000000,0.000000,70.440002
1523211222.500000,65.859988,1.279999,0.079999,0.419997,0.200000,2.319996,0.039997,3.720001,0.239992,0.000000,42.260001,0.000000,6.320001,0.000000,2.140000,1.000000,0.560007,5.279998,0.000000,0.000000,0.000000,0.000000,65.859988
1523211222.550000,63.420026,1.280001,0.320001,0.239997,0.240002,2.100001,0.000000,3.280005,3.020006,0.000000,38.320000,0.000000,7.360004,0.000000,3.000000,1.700001,0.300003,2.260006,0.000000,0.000000,0.000000,0.000000,63.420026
1523211222.600000,63.839992,1.519980,0.000000,0.860000,0.300005,1.779998,0.040002,5.660000,2.120006,0.000000,37.220011,0.000000,6.659995,0.040002,2.360001,2.000000,1.379997,1.859999,0.039997,0.000000,0.000000,0.000000,63.839992
1523211222.650000,65.220037,1.500011,0.159998,0.219998,0.300001,3.660001,0.360003,7.639999,2.940012,0.000000,35.520000,0.000000,7.000000,0.000000,1.920002,3.000000,0.580010,0.360000,0.060000,0.000000,0.000000,0.000000,65.220037
1523211222.700000,70.799987,1.520000,0.179999,0.079998,1.279993,6.379999,0.200000,10.360001,2.460003,0.000000,35.100004,0.000000,7.000000,0.180001,1.899996,2.559998,0.759993,0.840002,0.000000,0.000000,0.000000,0.000000,70.799987
1523211222.750000,68.739995,2.899986,0.480002,0.139999,0.780006,5.840004,0.159993,11.240005,2.700005,0.000000,32.219994,0.000000,7.059999,0.000000,2.000000,2.000000,0.220000,1.000000,0.000000,0.000000,0.000000,0.000000,68.739995
1523211222.800000,52.679988,1.160007,0.039997,0.000000,0.200000,3.480000,0.120001,7.199993,1.700002,0.000000,28.959995,0.000000,4.579992,0.040002,2.000000,0.799999,0.659998,1.740002,0.000000,0.000000,0.000000,0.000000,52.679988
