date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523210340.000000,7,9,2,4,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1
1523210340.050000,10,13,2,5,0,0,2,0,0,0,0,0,0,0,2,1,3,2,1,4,0,0,0,0,0,0,0,0,0,1
1523210340.100000,17,14,4,4,0,0,0,0,0,0,0,0,0,0,6,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0
1523210340.150000,8,10,3,3,0,0,0,0,0,1,0,0,0,0,5,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1
1523210340.200000,8,8,2,2,0,0,0,0,0,1,0,0,0,1,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1523210340.250000,8,15,1,4,0,0,0,0,1,1,0,0,0,0,3,4,2,2,1,3,0,0,0,0,0,0,0,0,0,1
1523210340.300000,5,4,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
1523210340.350000,8,6,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1
1523210340.400000,10,15,2,5,0,0,0,1,0,1,0,0,0,0,3,2,4,4,1,2,0,0,0,0,0,0,0,0,0,0
1523210340.450000,14,17,2,4,0,0,0,0,0,0,0,0,0,1,6,7,3,4,3,1,0,0,0,0,0,0,0,0,0,0
1523210340.500000,12,10,2,3,0,0,0,0,1,0,0,0,1,1,4,2,2,3,1,1,0,0,0,0,0,0,0,0,1,0
1523210340.550000,12,9,4,3,0,0,0,0,1,0,0,0,0,0,3,0,1,2,1,4,0,0,0,0,0,0,0,0,2,0
1523210340.600000,8,8,3,4,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1523210340.650000,10,5,3,2,0,0,0,0,1,1,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
1523210340.700000,7,3,3,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1523210340.750000,7,4,2,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0
1523210340.800000,12,12,2,3,0,0,1,0,1,1,0,0,0,0,2,5,4,2,1,0,0,0,0,0,0,0,0,0,1,1
1523210340.850000,9,11,2,2,0,0,0,1,0,0,0,0,1,0,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0
1523210340.900000,14,10,4,3,0,0,0,0,0,1,0,0,0,0,2,3,6,1,2,2,0,0,0,0,0,0,0,0,0,0
1523210340.950000,13,5,2,0,0,0,0,0,0,0,0,0,0,0,3,4,6,1,2,0,0,0,0,0,0,0,0,0,0,0
1523210341.000000,11,7,5,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,1,2,0,0,0,0,0,0,0,0,2,0
1523210341.050000,10,10,3,1,0,0,0,1,0,0,0,0,1,0,2,1,3,5,0,2,0,0,0,0,0,0,0,0,1,0
1523210341.100000,7,10,2,3,0,0,0,0,0,0,0,0,0,0,1,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0
1523210341.150000,12,9,0,3,0,0,2,0,0,0,0,0,0,2,4,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0
1523210341.200000,9,12,1,5,0,0,0,0,0,1,0,0,1,0,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0
1523210341.250000,10,9,2,1,0,0,0,0,0,1,0,0,0,0,4,3,1,4,3,0,0,0,0,0,0,0,0,0,0,0
1523210341.300000,6,15,3,8,0,0,0,0,0,1,0,0,0,0,0,2,1,3,1,1,0,0,0,0,0,0,0,0,1,0
1523210341.350000,10,4,2,1,0,0,0,1,1,0,0,0,0,0,2,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0
1523210341.400000,7,7,2,3,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1523210341.450000,9,13,2,6,0,0,0,1,0,0,0,0,2,0,0,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0
1523210341.500000,10,11,3,2,0,0,0,0,1,0,0,0,1,0,2,3,2,5,1,0,0,0,0,0,0,0,0,0,0,1
1523210341.550000,12,17,2,4,0,0,0,0,1,1,0,0,1,0,3,2,2,5,3,4,0,0,0,0,0,0,0,0,0,1
1523210341.600000,8,13,3,4,0,0,0,0,1,0,0,0,0,0,2,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0
1523210341.650000,11,8,2,2,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,1,0,0,0,0,0,0,0,0,2,0
1523210341.700000,7,11,1,3,0,0,1,0,0,0,0,0,0,0,3,5,0,3,1,0,0,0,0,0,0,0,0,0,1,0
1523210341.750000,15,9,5,3,0,0,0,0,0,0,0,0,0,0,4,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0
1523210341.800000,10,7,5,4,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
1523210341.850000,7,8,1,3,0,0,0,0,2,0,0,0,1,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1523210341.900000,6,11,2,4,0,0,0,0,1,0,0,0,0,0,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0
1523210341.950000,10,10,6,1,0,0,0,0,0,1,0,0,0,0,1,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0
1523210342.000000,12,11,1,3,0,0,0,0,0,0,0,0,0,1,5,2,6,3,0,1,0,0,0,0,0,0,0,0,0,1
1523210342.050000,11,6,3,1,0,0,0,0,0,1,0,0,0,0,3,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0
1523210342.100000,11,6,4,0,0,0,0,0,0,1,0,0,1,0,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1523210342.150000,7,15,1,5,0,0,0,0,1,1,0,0,0,1,4,2,0,2,0,3,0,0,0,0,0,0,0,0,1,1
1523210342.200000,8,12,1,0,0,0,0,0,0,0,0,0,0,0,1,6,5,5,1,0,0,0,0,0,0,0,0,0,0,1
1523210342.250000,10,12,1,2,0,0,0,0,1,1,0,0,0,0,3,3,2,3,2,3,0,0,0,0,0,0,0,0,1,0
1523210342.300000,10,18,2,4,0,0,0,0,1,1,0,0,0,0,6,4,0,4,1,4,0,0,0,0,0,0,0,0,0,1
1523210342.350000,6,8,1,2,0,0,0,0,0,1,0,0,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0
1523210342.400000,18,13,4,5,0,0,0,0,0,1,0,0,0,0,2,1,8,5,3,1,0,0,0,0,0,0,0,0,1,0
1523210342.450000,7,15,1,3,0,0,0,1,0,0,0,0,0,1,2,2,4,6,0,2,0,0,0,0,0,0,0,0,0,0
1523210342.500000,10,15,3,4,0,0,0,0,0,2,0,0,0,1,5,5,1,3,0,0,0,0,0,0,0,0,0,0,1,0
1523210342.550000,8,13,4,2,0,0,0,1,0,0,0,0,0,0,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,2
1523210342.600000,12,9,4,1,0,0,1,0,0,1,0,0,0,0,3,4,4,1,0,1,0,0,0,0,0,0,0,0,0,1
1523210342.650000,12,9,2,4,0,0,0,0,1,0,0,0,0,0,0,1,7,4,2,0,0,0,0,0,0,0,0,0,0,0
1523210342.700000,10,16,3,7,0,0,0,0,1,0,0,0,0,0,2,2,4,5,0,2,0,0,0,0,0,0,0,0,0,0
1523210342.750000,6,15,3,3,0,0,0,0,0,0,0,0,0,0,1,3,1,7,1,2,0,0,0,0,0,0,0,0,0,0
1523210342.800000,10,13,2,3,0,0,0,0,0,0,0,0,1,0,3,3,3,5,1,1,0,0,0,0,0,0,0,0,0,1
1523210342.850000,11,13,4,4,0,0,1,1,0,0,0,0,0,0,1,3,1,3,4,2,0,0,0,0,0,0,0,0,0,0
1523210342.900000,11,14,3,5,0,0,1,0,0,0,0,0,0,0,3,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0
1523210342.950000,13,7,5,3,0,0,0,0,0,2,0,0,0,0,1,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0
1523210343.000000,17,10,6,3,0,0,0,0,0,1,0,0,0,0,4,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0
1523210343.050000,10,18,2,3,0,0,0,0,0,0,0,0,0,2,5,6,3,3,0,2,0,0,0,0,0,0,0,0,0,2
1523210343.100000,11,19,3,9,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,2,0,0,0,0,0,0,0,0,2,1
1523210343.150000,11,13,2,6,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,1,0,0,0,0,0,0,0,0,0,1
1523210343.200000,15,10,4,3,0,0,0,1,1,0,0,0,0,0,3,1,2,3,3,2,0,0,0,0,0,0,0,0,2,0
1523210343.250000,10,15,2,4,0,0,0,0,0,0,0,0,0,1,6,3,2,4,0,2,0,0,0,0,0,0,0,0,0,1
1523210343.300000,10,10,3,2,0,0,0,0,0,0,0,0,0,0,4,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0
1523210343.350000,8,8,1,1,0,0,0,1,0,0,0,0,0,0,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1
1523210343.400000,6,7,2,4,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1523210343.450000,13,22,4,9,0,0,0,1,0,0,0,0,0,0,5,6,3,3,1,2,0,0,0,0,0,0,0,0,0,1
1523210343.500000,10,4,1,0,0,0,0,0,0,1,0,0,0,0,2,2,4,0,3,1,0,0,0,0,0,0,0,0,0,0
1523210343.550000,7,13,4,3,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0
1523210343.600000,22,13,7,5,0,0,3,1,3,0,0,0,1,0,4,2,2,3,1,2,0,0,0,0,0,0,0,0,1,0
1523210343.650000,14,10,3,2,0,0,1,0,0,0,0,0,2,0,4,5,1,3,2,0,0,0,0,0,0,0,0,0,1,0
1523210343.700000,12,10,3,2,0,0,0,0,0,0,0,0,1,0,2,3,5,2,1,2,0,0,0,0,0,0,0,0,0,1
1523210343.750000,11,10,0,3,0,0,1,0,1,0,0,0,0,0,3,2,4,4,2,1,0,0,0,0,0,0,0,0,0,0
1523210343.800000,11,8,4,6,0,0,0,0,0,1,0,0,0,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0
1523210343.850000,21,19,6,7,0,0,1,0,0,0,0,0,0,0,5,4,6,5,2,3,0,0,0,0,0,0,0,0,1,0
1523210343.900000,5,21,2,4,0,0,0,1,0,3,0,0,0,0,2,4,1,2,0,5,0,0,0,0,0,0,0,0,0,2
1523210343.950000,11,13,3,3,0,0,1,0,1,1,0,0,0,0,2,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0
1523210344.000000,9,3,1,1,0,0,1,0,0,0,0,0,0,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0
1523210344.050000,7,15,0,4,0,0,1,0,0,0,0,0,1,1,2,2,0,4,2,4,0,0,0,0,0,0,0,0,1,0
1523210344.100000,18,12,7,2,0,0,0,0,2,0,0,0,0,0,4,7,1,2,3,1,0,0,0,0,0,0,0,0,1,0
1523210344.150000,11,10,3,3,0,0,1,0,0,0,0,0,0,0,2,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0
1523210344.200000,11,15,2,3,0,0,0,1,0,1,0,0,1,0,0,6,4,4,3,0,0,0,0,0,0,0,0,0,1,0
1523210344.250000,12,8,4,2,0,0,0,0,0,0,0,0,0,1,3,2,2,1,3,1,0,0,0,0,0,0,0,0,0,1
1523210344.300000,14,8,3,3,0,0,0,1,3,0,0,0,2,0,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
1523210344.350000,10,15,2,2,0,0,0,0,0,1,0,0,0,0,5,4,1,3,2,4,0,0,0,0,0,0,0,0,0,1
1523210344.400000,12,12,3,1,0,0,0,0,0,1,0,0,1,1,2,3,3,3,2,3,0,0,0,0,0,0,0,0,1,0
1523210344.450000,18,11,5,2,0,0,0,0,2,1,0,0,0,0,6,5,2,1,1,2,0,0,0,0,0,0,0,0,2,0
1523210344.500000,8,6,1,2,0,0,1,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0
1523210344.550000,10,8,0,2,0,0,0,0,0,0,0,0,1,0,5,3,2,0,2,3,0,0,0,0,0,0,0,0,0,0
1523210344.600000,8,10,2,2,0,0,0,0,0,1,0,0,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,1,0
1523210344.650000,14,16,3,3,0,0,0,0,0,1,0,0,1,0,6,4,4,3,0,3,0,0,0,0,0,0,0,0,0,2
1523210344.700000,6,8,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0
1523210344.750000,12,9,4,1,0,0,0,0,1,0,0,0,0,0,3,4,1,2,3,2,0,0,0,0,0,0,0,0,0,0
1523210344.800000,3,6,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1523210344.850000,6,6,4,1,0,0,0,0,1,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1523210344.900000,11,6,2,0,0,0,0,0,1,0,0,0,1,1,3,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0
1523210344.950000,17,13,5,2,0,0,0,0,0,0,0,0,1,2,5,4,3,1,0,3,0,0,0,0,0,0,0,0,3,1
1523210345.000000,12,18,4,7,0,0,1,0,0,1,0,0,1,1,2,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1
1523210345.050000,14,7,4,3,0,0,0,0,0,0,0,0,0,1,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1523210345.100000,10,7,1,1,0,0,0,0,0,1,0,0,0,0,4,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0
1523210345.150000,11,13,3,4,0,0,0,0,0,0,0,0,0,1,5,2,1,2,2,2,0,0,0,0,0,0,0,0,0,2
1523210345.200000,9,13,5,5,0,0,0,0,0,1,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,1
1523210345.250000,14,9,4,2,0,0,0,0,0,0,0,0,0,2,5,1,3,2,2,1,0,0,0,0,0,0,0,0,0,1
1523210345.300000,6,10,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0
1523210345.350000,9,19,1,5,0,0,0,1,1,0,0,0,1,1,2,2,4,3,0,7,0,0,0,0,0,0,0,0,0,0
1523210345.400000,19,19,7,6,0,0,0,1,1,0,0,0,0,0,3,4,4,5,1,1,0,0,0,0,0,0,0,0,3,2
1523210345.450000,12,11,3,5,0,0,0,0,0,0,0,0,0,0,3,2,4,4,1,0,0,0,0,0,0,0,0,0,1,0
1523210345.500000,12,9,2,2,0,0,0,0,0,0,0,0,2,1,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
1523210345.550000,9,9,2,3,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0
1523210345.600000,19,11,4,3,0,0,0,0,0,1,0,0,1,0,6,3,6,2,2,2,0,0,0,0,0,0,0,0,0,0
1523210345.650000,12,15,3,8,0,0,0,0,1,0,0,0,0,0,2,0,3,6,3,1,0,0,0,0,0,0,0,0,0,0
1523210345.700000,8,14,4,3,0,0,1,0,0,0,0,0,0,0,2,5,0,2,1,2,0,0,0,0,0,0,0,0,0,2
