date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1523223300.000000,0,0,0,0,0,0,0,0,0,0
1523223300.050000,0,0,0,0,0,0,0,0,0,0
1523223300.100000,0,0,0,0,0,0,0,0,0,0
1523223300.150000,0,0,0,0,0,0,0,0,0,0
1523223300.200000,0,0,0,0,0,0,0,0,0,0
1523223300.250000,0,0,0,0,0,0,0,0,0,0
1523223300.300000,0,0,0,0,0,0,0,0,0,0
1523223300.350000,0,0,0,0,0,0,0,0,0,0
1523223300.400000,0,0,0,0,0,0,0,0,0,0
1523223300.450000,0,0,0,0,0,0,0,0,0,0
1523223300.500000,0,0,0,0,0,0,0,0,0,0
1523223300.550000,0,0,0,0,0,0,0,0,0,0
1523223300.600000,0,0,0,0,0,0,0,0,0,0
1523223300.650000,0,0,0,0,0,0,0,0,0,0
1523223300.700000,0,0,0,0,0,0,0,0,0,0
1523223300.750000,0,0,0,0,0,0,0,0,0,0
1523223300.800000,0,0,0,0,0,0,0,0,0,0
1523223300.850000,0,0,0,0,0,0,0,0,0,0
1523223300.900000,0,0,0,0,0,0,0,0,0,0
1523223300.950000,0,0,0,0,0,0,0,0,0,0
1523223301.000000,0,0,0,0,0,0,0,0,0,0
1523223301.050000,0,0,0,0,0,0,0,0,0,0
1523223301.100000,0,0,0,0,0,0,0,0,0,0
1523223301.150000,0,0,0,0,0,0,0,0,0,0
1523223301.200000,0,0,0,0,0,0,0,0,0,0
1523223301.250000,0,0,0,0,0,0,0,0,0,0
1523223301.300000,0,0,0,0,0,0,0,0,0,0
1523223301.350000,0,0,0,0,0,0,0,0,0,0
1523223301.400000,0,0,0,0,0,0,0,0,0,0
1523223301.450000,0,0,0,0,0,0,0,0,0,0
1523223301.500000,0,0,0,0,0,0,0,0,0,0
1523223301.550000,0,0,0,0,0,0,0,0,0,0
1523223301.600000,0,0,0,0,0,0,0,0,0,0
1523223301.650000,0,0,0,0,0,0,0,0,0,0
1523223301.700000,0,0,0,0,0,0,0,0,0,0
1523223301.750000,0,0,0,0,0,0,0,0,0,0
1523223301.800000,0,0,0,0,0,0,0,0,0,0
1523223301.850000,0,0,0,0,0,0,0,0,0,0
1523223301.900000,0,0,0,0,0,0,0,0,0,0
1523223301.950000,0,0,0,0,0,0,0,0,0,0
1523223302.000000,0,0,0,0,0,0,0,0,0,0
1523223302.050000,0,0,0,0,0,0,0,0,0,0
1523223302.100000,0,0,0,0,0,0,0,0,0,0
