date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523211780.000000,1.301222,1.251500,0.000000,0.000000,0.300000,0.000000,0.000000,1.400333,2.233500,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308000,0.229000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.387000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.050000,0.719200,0.257000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.420000,0.000000,0.000000,0.000000,0.000000,0.242000,1.313250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.209500,1.417000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.100000,0.849667,0.579750,0.000000,0.000000,0.000000,0.000000,0.000000,1.226250,0.000000,0.423000,0.000000,0.000000,0.000000,0.000000,0.000000,1.387000,1.268500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.781000,0.000000,0.000000,0.000000,0.000000,0.000000,1.230000
1523211780.150000,1.955000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.955000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.395100,1.308500,0.000000,0.000000,0.000000,0.000000,1.953000,1.755500,1.362250,0.000000,0.000000,0.000000,0.000000,0.000000,0.421000
1523211780.200000,1.228250,1.504400,0.000000,0.000000,0.000000,0.000000,0.000000,0.894000,1.156000,0.254000,0.000000,0.000000,0.000000,0.000000,0.000000,1.611000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.955333,0.578000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.250000,1.195556,0.805500,0.000000,0.000000,1.395000,0.000000,1.414000,1.521500,0.890500,1.516000,0.000000,0.000000,0.000000,0.000000,0.000000,1.077909,0.859333,0.000000,0.000000,0.000000,0.000000,0.953000,1.903000,1.473000,0.265500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.300000,0.610143,0.415000,0.000000,0.000000,0.000000,0.000000,0.000000,0.862000,1.155000,0.325667,0.000000,0.000000,0.000000,0.000000,0.000000,0.741133,0.666250,0.000000,0.000000,0.300000,0.000000,0.000000,1.128000,0.965167,0.495500,0.000000,0.000000,0.000000,0.000000,0.242000
1523211780.350000,0.658000,0.409000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415500,0.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.400000,1.853333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.661000,1.480000,1.419000,0.000000,0.000000,0.000000,0.000000,0.000000,1.040000,1.304000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.776000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.450000,0.991167,1.052000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.869500,0.758000,0.579250,0.000000,0.000000,0.000000,0.000000,0.000000,1.072000,1.349000,0.254000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.500000,1.687000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.421000,2.427000,0.000000,0.000000,0.000000,0.000000,2.213000,1.799500,2.378000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.221000
1523211780.550000,0.958600,0.870333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.091000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.090000,0.318000,0.000000,0.000000,0.000000,0.000000,0.000000,1.617667,1.767000,0.346000,0.000000,0.000000,0.000000,0.000000,0.000000
