date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523211780.900000,0.062913,0.080000,0.000000,0.000000,0.000000,0.000000,0.090667,0.064312,0.054735,0.082000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095875,0.082625,0.000000,0.000000,0.105000,0.000000,0.094333,0.113277,0.074741,0.023000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211780.950000,0.075442,0.051200,0.000000,0.000000,0.000000,0.000000,0.051000,0.078446,0.077405,0.056400,0.000000,0.000000,0.000000,0.000000,0.000000,0.070286,0.097800,0.000000,0.117000,0.000000,0.000000,0.061000,0.066035,0.064844,0.096250,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.000000,0.091791,0.058200,0.000000,0.000000,0.091000,0.000000,0.101500,0.103613,0.089783,0.057600,0.000000,0.000000,0.000000,0.000000,0.000000,0.076262,0.049000,0.000000,0.000000,0.000000,0.000000,0.051000,0.089133,0.066174,0.061400,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.050000,0.077649,0.050000,0.000000,0.079500,0.000000,0.000000,0.000000,0.080211,0.074480,0.106750,0.000000,0.000000,0.000000,0.000000,0.000000,0.093662,0.055600,0.000000,0.000000,0.000000,0.000000,0.000000,0.097974,0.096655,0.063500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.100000,0.082446,0.090429,0.000000,0.000000,0.058667,0.000000,0.094000,0.090556,0.047950,0.158200,0.000000,0.000000,0.000000,0.000000,0.000000,0.098397,0.061600,0.000000,0.000000,0.060000,0.000000,0.128500,0.115444,0.084182,0.081667,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.150000,0.079368,0.046143,0.000000,0.000000,0.160000,0.000000,0.083000,0.078533,0.070655,0.189000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083682,0.061667,0.000000,0.079500,0.060000,0.000000,0.088000,0.094267,0.075897,0.052000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.200000,0.087659,0.090800,0.000000,0.000000,0.000000,0.000000,0.039000,0.093313,0.078828,0.154000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086125,0.059857,0.000000,0.000000,0.087000,0.000000,0.051000,0.095531,0.074481,0.139500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.250000,0.092013,0.105250,0.000000,0.000000,0.000000,0.000000,0.127000,0.102725,0.073080,0.044000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073781,0.111000,0.000000,0.000000,0.000000,0.000000,0.108000,0.072846,0.061440,0.116333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.300000,0.100346,0.100909,0.000000,0.000000,0.106000,0.000000,0.044000,0.096262,0.097143,0.157000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084988,0.052800,0.000000,0.000000,0.160000,0.000000,0.075000,0.091381,0.078690,0.088333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.350000,0.092295,0.072250,0.000000,0.000000,0.000000,0.000000,0.000000,0.098235,0.089091,0.041000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078152,0.083778,0.000000,0.000000,0.000000,0.000000,0.044000,0.085382,0.064158,0.079333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.400000,0.065538,0.092875,0.000000,0.024000,0.000000,0.000000,0.000000,0.057241,0.071120,0.109333,0.000000,0.000000,0.000000,0.000000,0.000000,0.059805,0.081714,0.000000,0.000000,0.106000,0.000000,0.127000,0.057074,0.055435,0.041000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.450000,0.070484,0.042400,0.000000,0.000000,0.000000,0.000000,0.000000,0.086111,0.053529,0.037000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075821,0.119750,0.000000,0.024000,0.000000,0.000000,0.000000,0.070444,0.069450,0.086500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.500000,0.075023,0.054500,0.000000,0.000000,0.000000,0.000000,0.095000,0.078149,0.074792,0.070250,0.000000,0.000000,0.000000,0.000000,0.000000,0.080381,0.040500,0.000000,0.000000,0.000000,0.000000,0.000000,0.089149,0.089130,0.031333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.550000,0.089386,0.130000,0.000000,0.000000,0.121000,0.000000,0.000000,0.093651,0.078778,0.060200,0.000000,0.000000,0.000000,0.000000,0.000000,0.099183,0.083200,0.000000,0.000000,0.000000,0.000000,0.000000,0.102674,0.098529,0.089333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.600000,0.100116,0.155500,0.000000,0.062000,0.039000,0.000000,0.052000,0.106212,0.090619,0.116400,0.000000,0.000000,0.000000,0.000000,0.000000,0.103130,0.086333,0.000000,0.000000,0.000000,0.000000,0.065000,0.090235,0.106125,0.185333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.650000,0.081395,0.075600,0.000000,0.003000,0.192000,0.000000,0.048000,0.086268,0.077048,0.088667,0.000000,0.000000,0.000000,0.000000,0.000000,0.092974,0.118750,0.000000,0.032500,0.066333,0.000000,0.060500,0.102150,0.066263,0.143500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.700000,0.083091,0.093000,0.000000,0.022500,0.101000,0.000000,0.041500,0.104333,0.061714,0.078250,0.000000,0.000000,0.000000,0.000000,0.000000,0.082467,0.116000,0.000000,0.004000,0.000000,0.000000,0.048000,0.102750,0.063172,0.085500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.750000,0.054507,0.038167,0.000000,0.000000,0.000000,0.000000,0.069000,0.057024,0.055182,0.037333,0.000000,0.000000,0.000000,0.000000,0.000000,0.076056,0.092667,0.000000,0.041000,0.000000,0.000000,0.034000,0.077976,0.075800,0.088000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.800000,0.066770,0.074444,0.000000,0.000000,0.056000,0.000000,0.093500,0.072250,0.050962,0.065500,0.000000,0.000000,0.000000,0.000000,0.000000,0.070073,0.080385,0.000000,0.000000,0.101000,0.000000,0.000000,0.070375,0.064688,0.068714,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.850000,0.068753,0.069000,0.000000,0.000000,0.000000,0.000000,0.078000,0.077651,0.051292,0.072200,0.000000,0.000000,0.000000,0.000000,0.000000,0.069773,0.089625,0.000000,0.000000,0.124000,0.000000,0.088500,0.067116,0.070593,0.034333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.900000,0.080907,0.084600,0.000000,0.000000,0.060000,0.000000,0.087750,0.078741,0.083950,0.096500,0.000000,0.000000,0.000000,0.000000,0.000000,0.081741,0.068750,0.000000,0.000000,0.000000,0.000000,0.071667,0.086407,0.060143,0.176333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211781.950000,0.100556,0.074286,0.000000,0.000000,0.000000,0.000000,0.072333,0.117458,0.083263,0.047000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070803,0.047000,0.000000,0.000000,0.060000,0.000000,0.041000,0.080750,0.056421,0.050750,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.000000,0.069694,0.033778,0.000000,0.033000,0.076000,0.000000,0.063000,0.078625,0.076235,0.033000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077391,0.062077,0.000000,0.000000,0.000000,0.000000,0.115000,0.088697,0.064941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.050000,0.064567,0.023143,0.000000,0.000000,0.027000,0.000000,0.243000,0.075394,0.071000,0.018286,0.000000,0.000000,0.000000,0.000000,0.000000,0.064987,0.057667,0.000000,0.033000,0.051500,0.000000,0.084333,0.076594,0.054933,0.053000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.100000,0.073530,0.053900,0.000000,0.000000,0.000000,0.000000,0.033000,0.073870,0.088765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082823,0.029250,0.000000,0.000000,0.000000,0.000000,0.018000,0.089759,0.078632,0.067000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.150000,0.079679,0.042000,0.000000,0.000000,0.000000,0.000000,0.028000,0.081200,0.076176,0.103167,0.000000,0.000000,0.000000,0.000000,0.000000,0.057182,0.048500,0.000000,0.000000,0.000000,0.000000,0.129000,0.063065,0.041533,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.200000,0.068165,0.028143,0.000000,0.000000,0.000000,0.000000,0.070333,0.072781,0.070750,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082297,0.035778,0.000000,0.000000,0.000000,0.000000,0.016500,0.089143,0.095400,0.043500,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.250000,0.062455,0.064333,0.000000,0.013000,0.004000,0.000000,0.025500,0.068844,0.062684,0.043167,0.000000,0.000000,0.000000,0.000000,0.000000,0.076156,0.074000,0.000000,0.013000,0.004000,0.000000,0.007000,0.071156,0.100667,0.073800,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.300000,0.068473,0.051667,0.000000,0.000000,0.015000,0.000000,0.037333,0.081359,0.055520,0.038000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064659,0.038571,0.000000,0.000000,0.015000,0.000000,0.101000,0.067264,0.070286,0.020333,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.350000,0.087472,0.057000,0.000000,0.000000,0.019000,0.000000,0.045000,0.102762,0.084483,0.079750,0.000000,0.000000,0.000000,0.000000,0.000000,0.067416,0.024500,0.000000,0.000000,0.019000,0.000000,0.045000,0.080907,0.058500,0.070400,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.400000,0.090052,0.078000,0.000000,0.000000,0.000000,0.000000,0.084000,0.106432,0.072792,0.069500,0.000000,0.000000,0.000000,0.000000,0.000000,0.076324,0.061125,0.000000,0.000000,0.000000,0.000000,0.089333,0.083447,0.063667,0.116000,0.000000,0.000000,0.000000,0.000000,0.000000
1523211782.450000,0.067431,0.037200,0.000000,0.000000,0.000000,0.000000,0.055000,0.068371,0.072269,0.068400,0.000000,0.000000,0.000000,0.000000,0.000000,0.067096,0.061375,0.000000,0.000000,0.000000,0.000000,0.047000,0.077914,0.059333,0.040500,0.000000,0.000000,0.000000,0.000000,0.000000
