timestamp,pit
1523137872200,2549.9
1523137872250,2678.6843
1523137872300,2575.2856
1523137872350,2615.5
1523137872400,2497.6316
1523137872450,2941.818
1523137872500,4183.8
1523137872550,4107.61
1523137872600,6753.0
1523137872650,3867.0
1523137873300,1642.875
1523137873350,1585.3334
1523137873400,1730.5
1523137873450,1479.5555
1523137873500,1456.1364
1523137873550,1660.0
1523137873600,2329.795
1523137873650,2205.4546
1523137873700,2622.5344
1523137873750,2235.4119
1523137874850,3.0
1523137874950,3302.0
1523137875000,3885.0
1523137875100,3306.0
1523137875150,4158.0
1523137875200,4470.0
1523137875300,4949.3335
1523137875350,4524.0
1523137875400,2166.5
1523137875450,5206.6665
1523137875550,3457.4
1523137875650,3221.25
1523137875700,682.0
1523137875750,2378.5
1523137875950,4630.3335
1523137876000,2673.5
1523137876100,5137.0
1523137876150,2736.0
1523137876200,1251.0
1523137876300,4641.3335
1523137876350,3798.0
1523137876500,3941.0
1523137876550,1616.5
1523137876600,3051.0
1523137876650,3386.0
1523137876700,4039.0
1523137876750,3183.7144
1523137876800,2.0
1523137876850,3657.5
1523137876900,4456.0
1523137876950,1481.0
1523137877000,3695.0
1523137877050,2879.0
1523137877150,4221.0
1523137877200,3776.0
1523137877250,3511.6667
1523137877300,1594.0
1523137877350,1007.5
1523137877400,2232.4
1523137877450,2139.0
1523137877500,1347.0
1523137877550,453.66666
1523137877600,1921.0
1523137877650,1934.5
1523137877700,1337.0
1523137877750,1350.5
1523137877800,2.0
1523137877850,1945.0
1523137877900,2880.5
1523137877950,2753.5
1523137878000,813.0
1523137878050,1421.5
1523137878100,2.0
1523137878150,3499.0
1523137878200,3310.0
1523137878250,1860.5
1523137878300,1676.0
1523137878350,1157.5
1523137878400,12.0
1523137878450,538.6667
1523137878500,313.0
1523137878550,2800.0
1523137878600,3146.0
1523137878650,2816.0
1523137878700,491.5
1523137878750,607.5
1523137878800,1144.0
1523137878850,616.0
1523137878900,12.0
1523137878950,697.5
1523137879000,615.75
1523137879050,2951.0
1523137879100,704.0
1523137879150,3917.0
1523137879200,948.0
1523137879250,1134.5
1523137879300,27.5
1523137879350,1198.0
1523137879400,209.2
1523137879450,159.0
1523137879500,2.0
1523137879550,2.0
1523137879650,1167.0
1523137879700,1706.0
1523137879750,1451.3334
1523137879800,351.0
1523137879850,247.0
1523137879900,3198.0
1523137879950,228.4
1523137880000,529.5
1523137880050,94.0
1523137880100,299.5
1523137880150,491.0
1523137880200,243.66667
1523137880300,1595.5
1523137880350,217.0
1523137880400,168.0
1523137880450,248.5
1523137880500,36.0
1523137880550,2245.0
1523137880600,16.0
1523137880650,844.5
1523137880700,402.0
1523137880750,2.0
1523137880800,107.0
1523137880850,550.6667
1523137880900,182.0
1523137880950,46.0
1523137881000,183.0
1523137881050,678.0
1523137881100,199.0
1523137881150,324.57144
1523137881200,1086.3334
1523137881250,69.0
1523137881300,86.25
1523137881350,164.5
1523137881400,2003.0
1523137881450,30.666666
1523137881500,40.0
1523137881550,39.0
1523137881600,30.666666
1523137881650,600.6667
1523137881700,3.0
1523137881750,506.66666
1523137881800,5.5
1523137881850,1684.0
1523137881900,644.5
1523137881950,1140.25
1523137882000,10.5
1523137882050,10.5
1523137882100,56.0
1523137882150,632.0
1523137882200,306.0
1523137882250,18.0
1523137882300,382.0
1523137882350,474.5
1523137882400,23.5
1523137882500,13.5
1523137882550,281.66666
1523137882600,19.0
1523137882650,207.33333
1523137882700,4.5
1523137882750,441.0
1523137882800,203.0
1523137882850,346.5
1523137882900,88.5
1523137882950,36.5
1523137883000,115.5
1523137883050,71.666664
1523137883100,76.0
1523137883150,113.333336
1523137883200,133.0
1523137883250,40.0
1523137883300,36.0
1523137883400,24.0
1523137883450,77.0
1523137883500,22.666666
1523137883550,13.5
1523137883600,18.0
1523137883700,8.333333
1523137883750,9.0
1523137883800,3.5
1523137883850,31.5
1523137883900,7.0
1523137883950,15.0
1523137884000,32.375
1523137884050,15.0
1523137884100,8.0
1523137884150,25.4
1523137884200,10.75
1523137884250,16.0
1523137884300,7.5
1523137884350,8.25
1523137884400,16.333334
1523137884450,16.0
1523137884500,7.0
1523137884550,10.333333
1523137884600,8.875
1523137884650,12.5
1523137884700,9.5
1523137884750,14.6
1523137884800,9.75
1523137884850,4.0
1523137884900,14.5
1523137884950,4.5
1523137885000,8.5
1523137885050,28.0
1523137885100,5.5
1523137885150,7.5
1523137885200,11.0
1523137885250,7.0
1523137885300,15.0
1523137885350,14.5
1523137885400,17.0
1523137885450,6.0
1523137885500,6.5
1523137885550,18.5
1523137885600,6.8
1523137885650,12.0
1523137885700,55.5
1523137885750,15.5
1523137885800,5.0
1523137885850,10.2
1523137885900,3.0
1523137885950,6.0
1523137886000,20.833334
1523137886050,20.0
1523137886100,13.0
1523137886150,10.5
1523137886200,7.0
1523137886250,5.3333335
1523137886300,8.333333
1523137886350,10.0
1523137886400,8.25
1523137886450,8.5
1523137886500,6.25
1523137886550,3.5
1523137886600,8.0
1523137886650,23.0
1523137886700,16.666666
1523137886750,9.5
1523137886800,4.3333335
1523137886850,6.5
1523137886900,7.5
1523137886950,4.8333335
1523137887000,10.333333
1523137887050,32.0
1523137887100,6.6666665
1523137887150,21.0
1523137887200,5.0
1523137887250,8.0
1523137887300,8.5
1523137887350,7.0
1523137887400,16.4
1523137887450,17.571428
1523137887500,20.5
1523137887550,21.0
1523137887600,9.25
1523137887650,7.5
1523137887700,16.4
1523137887750,48.0
1523137887800,12.5
1523137887850,9.0
1523137887900,6.0
1523137887950,21.666666
1523137888000,10.0
1523137888050,20.333334
1523137888100,7.0
1523137888150,8.0
1523137888200,13.75
1523137888250,7.6666665
1523137888300,14.333333
1523137888350,8.0
1523137888400,4.0
1523137888450,4.3333335
1523137888500,14.5
1523137888550,3.5
1523137888600,13.333333
1523137888650,11.25
1523137888700,8.0
1523137888750,8.333333
1523137888800,7.0
1523137888850,9.25
1523137888900,8.0
1523137888950,9.4
1523137889050,12.333333
1523137889100,5.0
