date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523138040.000000,0.440001,0.060000,0.000000,0.000000,0.000000,0.280004,0.000000,0.000000,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.440001
1523138040.050000,0.699998,0.139997,0.000000,0.079999,0.000000,0.139999,0.000000,0.080004,0.099998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040001,0.120001,0.000000,0.000000,0.000000,0.000000,0.699998
1523138040.100000,0.359995,0.239997,0.000000,0.000000,0.000000,0.099998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359995
1523138040.150000,0.159998,0.000000,0.000000,0.159998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159998
1523138040.200000,0.540003,0.000000,0.000000,0.000000,0.060000,0.220003,0.000000,0.000000,0.000000,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.040001,0.000000,0.000000,0.000000,0.000000,0.540003
1523138040.250000,0.319993,0.000000,0.000000,0.000000,0.000000,0.099996,0.000000,0.000000,0.000000,0.000000,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.099998,0.040001,0.000000,0.000000,0.000000,0.000000,0.319993
1523138040.300000,0.360000,0.060000,0.000000,0.000000,0.000000,0.080001,0.000000,0.000000,0.000000,0.039997,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.100002,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000
1523138040.350000,0.140002,0.000000,0.060000,0.000000,0.000000,0.080002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140002
1523138040.400000,0.599991,0.160001,0.000000,0.079999,0.000000,0.159996,0.000000,0.000000,0.079999,0.039997,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599991
1523138040.450000,0.199995,0.060000,0.000000,0.000000,0.000000,0.039997,0.000000,0.000000,0.079999,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.199995
1523138040.500000,0.559998,0.099998,0.000000,0.000000,0.000000,0.099998,0.000000,0.060000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100002,0.000000,0.000000,0.000000,0.000000,0.000000,0.559998
1523138040.550000,0.280002,0.100001,0.000000,0.000000,0.000000,0.000000,0.000000,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040001,0.000000,0.060000,0.000000,0.000000,0.000000,0.280002
1523138040.600000,0.840000,0.180001,0.000000,0.000000,0.000000,0.459999,0.000000,0.060000,0.139999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840000
1523138040.650000,0.359997,0.000000,0.000000,0.000000,0.000000,0.100001,0.000000,0.000000,0.099998,0.020003,0.059996,0.000000,0.000000,0.000000,0.000000,0.000000,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.359997
1523138040.700000,0.380005,0.060000,0.000000,0.000000,0.100002,0.000000,0.000000,0.000000,0.060000,0.000000,0.040001,0.000000,0.000000,0.060000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380005
