date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523137380.000000,1.879993,0.319996,0.000000,0.000000,0.000000,0.000000,0.219996,0.819999,0.400002,0.120001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.879993
1523137380.050000,1.239999,0.000000,0.000000,0.079999,0.000000,0.000000,0.000000,0.720000,0.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.239999
1523137380.100000,0.600005,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.239998,0.280004,0.020003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600005
1523137380.150000,1.280002,0.160002,0.000000,0.000000,0.000000,0.000000,0.080005,0.659999,0.379996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.280002
1523137380.200000,1.260000,0.140000,0.000000,0.000000,0.000000,0.000000,0.120003,0.579999,0.419998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.260000
1523137380.250000,0.900002,0.140001,0.000000,0.000000,0.000000,0.000000,0.000000,0.220001,0.319996,0.220003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.900002
1523137380.300000,1.420000,0.299999,0.000000,0.000000,0.000000,0.000000,0.000000,0.840002,0.279999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.420000
1523137380.350000,1.519994,0.299999,0.000000,0.000000,0.000000,0.000000,0.000000,0.760001,0.459993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.519994
1523137380.400000,0.739989,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.199997,0.459993,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.739989
1523137380.450000,0.659994,0.120001,0.000000,0.000000,0.000000,0.000000,0.000000,0.239997,0.239996,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.659994
1523137380.500000,1.019997,0.099998,0.000000,0.119996,0.000000,0.000000,0.000000,0.320001,0.480002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.019997
1523137380.550000,1.000010,0.280004,0.000000,0.000000,0.080004,0.000000,0.000000,0.540005,0.099998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000010
1523137380.600000,0.439997,0.159998,0.000000,0.000000,0.079999,0.000000,0.000000,0.000000,0.120001,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439997
1523137380.650000,1.160001,0.120001,0.000000,0.000000,0.139999,0.000000,0.000000,0.580001,0.259999,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.160001
1523137380.700000,1.960007,0.300002,0.000000,0.000000,0.000000,0.000000,0.060000,1.140003,0.200001,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.960007
1523137380.750000,1.059994,0.119996,0.000000,0.000000,0.079999,0.000000,0.000000,0.639998,0.120001,0.099999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.059994
1523137380.800000,0.600004,0.060000,0.000000,0.000000,0.099998,0.000000,0.000000,0.139999,0.200005,0.100002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600004
1523137380.850000,0.380001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380001
1523137380.900000,0.280005,0.000000,0.000000,0.000000,0.079999,0.000000,0.000000,0.000000,0.120001,0.080005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280005
1523137380.950000,1.960001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.739998,0.820004,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.960001
1523137381.000000,1.019991,0.120001,0.000000,0.000000,0.000000,0.000000,0.000000,0.459993,0.419998,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.019991
1523137381.050000,1.440001,0.380001,0.000000,0.079999,0.000000,0.000000,0.000000,0.799999,0.100002,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.440001
1523137381.100000,1.259993,0.139999,0.000000,0.000000,0.000000,0.000000,0.000000,0.999994,0.119999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.259993
1523137381.150000,0.940010,0.060000,0.000000,0.000000,0.000000,0.000000,0.060000,0.480003,0.300002,0.040004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940010
1523137381.200000,1.580002,0.300002,0.000000,0.000000,0.000000,0.000000,0.000000,0.979998,0.280004,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.580002
1523137381.250000,0.560002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340004,0.199995,0.020003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.560002
1523137381.300000,0.219998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.219998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.219998
1523137381.350000,0.579993,0.219991,0.000000,0.000000,0.060000,0.000000,0.100002,0.000000,0.120001,0.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579993
1523137381.400000,0.599999,0.000000,0.000000,0.000000,0.080004,0.000000,0.000000,0.379996,0.139999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599999
1523137381.450000,1.319996,0.300002,0.000000,0.000000,0.000000,0.000000,0.000000,0.719996,0.279999,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.319996
1523137381.500000,0.759995,0.099998,0.000000,0.000000,0.000000,0.000000,0.000000,0.440001,0.199996,0.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.759995
1523137381.550000,1.479998,0.060000,0.000000,0.000000,0.000000,0.000000,0.079999,0.859995,0.420003,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.479998
1523137381.600000,1.159992,0.060000,0.000000,0.000000,0.000000,0.000000,0.060000,0.860000,0.099998,0.079994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.159992
1523137381.650000,1.839993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.059992,0.000000,0.780002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.839993
1523137381.700000,1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080002,0.219998,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000
1523137381.750000,1.739999,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.679998,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.739999
1523137381.800000,2.280005,0.200000,0.000000,0.000000,0.000000,0.000000,0.120001,0.240002,0.140001,1.580002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.280005
1523137381.850000,4.720004,0.000000,0.000000,0.000000,0.079999,0.000000,0.000000,0.380001,1.240001,3.020003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.720004
1523137381.900000,2.159998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339999,0.779998,1.040001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.159998
1523137381.950000,1.739999,0.040002,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.479999,1.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.739999
1523137382.000000,2.879997,0.080004,0.000000,0.000000,0.000000,0.000000,0.000000,1.019998,0.619998,1.159998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.879997
1523137382.050000,1.820003,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500002,0.260000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.820003
1523137382.100000,1.699999,0.119998,0.000000,0.000000,0.000000,0.000000,0.000000,0.440001,0.099998,1.040002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.699999
1523137382.150000,2.480012,0.120001,0.000000,0.000000,0.000000,0.000000,0.060000,0.520000,0.780010,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.480012
1523137382.200000,1.699998,0.000000,0.000000,0.000000,0.040001,0.000000,0.000000,0.500002,0.000000,1.159995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.699998
1523137382.250000,2.040006,0.120001,0.000000,0.000000,0.040001,0.000000,0.000000,0.400000,0.320002,1.160003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.040006
1523137382.300000,1.960006,0.280004,0.000000,0.000000,0.000000,0.000000,0.079999,0.100002,0.480002,1.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.960006
1523137382.350000,2.660003,0.120000,0.000000,0.080004,0.000000,0.000000,0.000000,1.300001,0.120001,1.039997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.660003
1523137382.400000,3.020006,0.400002,0.000000,0.000000,0.060000,0.000000,0.000000,1.280001,0.100002,1.180001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.020006
1523137382.450000,1.779999,0.120001,0.000000,0.000000,0.060000,0.000000,0.000000,0.299999,0.200000,1.099998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.779999
1523137382.500000,2.640005,0.120001,0.000000,0.000000,0.000000,0.000000,0.000000,1.340003,0.120001,1.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.640005
1523137382.550000,2.300001,0.000000,0.000000,0.000000,0.079999,0.000000,0.000000,1.060004,0.079999,1.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.300001
1523137382.600000,1.660001,0.040002,0.000000,0.000000,0.000000,0.000000,0.000000,0.540000,0.079999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.660001
1523137382.650000,2.860003,0.199995,0.000000,0.160003,0.060000,0.000000,0.000000,0.420002,0.960002,1.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.860003
1523137382.700000,2.280002,0.220002,0.000000,0.000000,0.000000,0.000000,0.060000,0.500004,0.479997,1.019999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.280002
1523137382.750000,1.840007,0.040001,0.000000,0.000000,0.120003,0.000000,0.000000,0.480003,0.120001,1.079999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.840007
1523137382.800000,1.160002,0.120001,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.559999,0.280002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.160002
