date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,http_total_longReq,http_adjustLoad
1523137380.000000,0.639990,0.639990,0.000000,0.000000,0.000000,0.000000,0.639990
1523137380.050000,0.599992,0.599992,0.000000,0.000000,0.000000,0.000000,0.599992
1523137380.100000,0.760004,0.760004,0.000000,0.000000,0.000000,0.000000,0.760004
1523137380.150000,0.380007,0.380007,0.000000,0.000000,0.000000,0.000000,0.380007
1523137380.200000,0.739985,0.739985,0.000000,0.000000,0.000000,0.000000,0.739985
1523137380.250000,1.079990,1.079990,0.000000,0.000000,0.000000,0.000000,1.079990
1523137380.300000,0.719999,0.719999,0.000000,0.000000,0.000000,0.000000,0.719999
1523137380.350000,0.239999,0.239999,0.000000,0.000000,0.000000,0.000000,0.239999
1523137380.400000,0.519986,0.519986,0.000000,0.000000,0.000000,0.000000,0.519986
1523137380.450000,0.539998,0.539998,0.000000,0.000000,0.000000,0.000000,0.539998
1523137380.500000,0.480007,0.480007,0.000000,0.000000,0.000000,0.000000,0.480007
1523137380.550000,0.199994,0.199994,0.000000,0.000000,0.000000,0.000000,0.199994
1523137380.600000,0.720005,0.720005,0.000000,0.000000,0.000000,0.000000,0.720005
1523137380.650000,0.840011,0.840011,0.000000,0.000000,0.000000,0.000000,0.840011
1523137380.700000,0.840006,0.840006,0.000000,0.000000,0.000000,0.000000,0.840006
1523137380.750000,0.180001,0.180001,0.000000,0.000000,0.000000,0.000000,0.180001
1523137380.800000,0.159999,0.159999,0.000000,0.000000,0.000000,0.000000,0.159999
1523137380.850000,0.139999,0.139999,0.000000,0.000000,0.000000,0.000000,0.139999
1523137380.900000,1.640006,1.640006,0.000000,0.000000,0.000000,0.000000,1.640006
1523137380.950000,0.460005,0.460005,0.000000,0.000000,0.000000,0.000000,0.460005
1523137381.000000,0.840003,0.840003,0.000000,0.000000,0.000000,0.000000,0.840003
1523137381.050000,0.980005,0.980005,0.000000,0.000000,0.000000,0.000000,0.980005
1523137381.100000,0.400014,0.400014,0.000000,0.000000,0.000000,0.000000,0.400014
1523137381.150000,0.779995,0.779995,0.000000,0.000000,0.000000,0.000000,0.779995
