timestamp,pit
1523137212900,3132.4119
1523137212950,3017.4119
1523137213000,2626.5
1523137213050,2956.889
1523137213100,2937.087
1523137213150,3404.0
1523137213200,3592.5
1523137213250,7352.0444
1523137213300,7472.7085
1523137213800,3278.182
1523137213850,3253.1667
1523137213900,2085.3333
1523137213950,1872.1305
1523137214000,1774.2632
1523137214050,1800.2667
1523137214100,2630.0
1523137214150,2681.4707
1523137214200,2833.1177
1523137215700,33.0
1523137215850,1987.5
1523137215900,3734.0
1523137216000,3.0
1523137216100,3779.0
1523137216200,5019.0
1523137216250,3587.0
1523137216300,4992.0
1523137216350,2534.0
1523137216450,5780.0
1523137216500,3331.0
1523137216550,4076.6667
1523137216600,2271.0
1523137216650,2806.0
1523137216700,6282.0
1523137216800,2723.5
1523137216850,4247.0
1523137216950,1747.0
1523137217050,3513.0
1523137217100,1734.75
1523137217150,4202.5
1523137217200,2842.6667
1523137217250,2484.0
1523137217300,3594.5
1523137217350,1510.0
1523137217400,34.0
1523137217450,4890.0
1523137217550,5981.0
1523137217600,2570.5
1523137217700,5380.0
1523137217750,4634.3335
1523137217800,2.0
1523137217850,1035.0
1523137217900,6819.0
1523137217950,6418.0
1523137218000,3797.0
1523137218050,796.0
1523137218100,1777.0
1523137218150,3535.2
1523137218200,5163.5
1523137218250,7665.0
1523137218300,3227.25
1523137218350,1066.5
1523137218400,3647.3333
1523137218450,2021.5
1523137218500,3471.0
1523137218550,1506.0
1523137218600,2167.6667
1523137218650,1473.0
1523137218700,3266.0
1523137218750,193.0
1523137218850,5250.0
1523137218900,1927.6666
1523137218950,4179.6665
1523137219000,6881.5
1523137219050,186.0
1523137219100,119.0
1523137219150,6.0
1523137219200,6082.0
1523137219300,1351.0
1523137219350,4547.5
1523137219400,5900.0
1523137219500,807.5
1523137219550,1583.0
1523137219600,210.0
1523137219650,2015.5
1523137219700,1677.3334
1523137219750,2104.0
1523137219800,2229.0
1523137219850,2378.8333
1523137219900,2303.0
1523137219950,2408.3333
1523137220000,1965.0
1523137220050,1901.6666
1523137220150,1852.6666
1523137220200,1919.0
1523137220250,1877.3334
1523137220300,986.0
1523137220350,2959.0
1523137220400,1588.0
1523137220450,2995.5
1523137220500,1638.3334
1523137220550,2639.5
1523137220600,2260.25
1523137220650,4407.0
1523137220700,1868.0
1523137220750,706.0
1523137220900,1087.0
1523137220950,623.5
1523137221000,1151.5
1523137221050,1221.0
1523137221100,2871.0
1523137221250,1318.0
1523137221300,422.0
1523137221350,54.0
1523137221400,3.5
1523137221500,101.5
1523137221550,5.0
1523137221600,2345.5
1523137221650,809.25
1523137221700,271.0
1523137221750,197.83333
1523137221800,608.0
1523137221850,760.6
1523137221900,999.0
1523137221950,1254.0
1523137222000,6.0
1523137222050,653.5
1523137222150,690.8
1523137222200,720.6667
1523137222250,471.5
1523137222350,932.6
1523137222400,833.6667
1523137222450,200.66667
1523137222500,804.75
1523137222550,5641.0
1523137222600,659.0
1523137222650,1791.0
1523137222700,263.0
1523137222750,724.0
1523137222800,599.3333
1523137222850,137.5
1523137222950,1649.0
1523137223000,235.0
1523137223050,594.5
1523137223150,1510.5
1523137223200,1502.25
1523137223250,62.666668
1523137223300,2.0
1523137223350,905.0
1523137223400,3.5
1523137223450,55.666668
1523137223500,691.2
1523137223550,2117.6667
1523137223600,2115.5
1523137223650,114.0
1523137223700,1104.5
1523137223750,1130.5
1523137223800,275.0
1523137223850,112.0
1523137223900,2320.5
1523137223950,2157.5
1523137224000,586.0
1523137224050,117.0
1523137224100,57.0
1523137224150,2215.0
1523137224200,534.0
1523137224250,1650.5
1523137224300,1048.0
1523137224350,1223.0
1523137224400,1022.8333
1523137224450,294.66666
1523137224500,3.0
1523137224550,262.0
1523137224600,2121.0
1523137224650,430.5
1523137224700,12.0
1523137224750,403.0
1523137224800,270.0
1523137224850,92.5
1523137224900,682.0
1523137224950,24.0
1523137225000,1650.0
1523137225050,807.0
1523137225100,226.25
1523137225150,350.66666
1523137225200,1104.0
1523137225250,1161.0
1523137225350,316.5
1523137225400,1537.25
1523137225450,3.0
1523137225500,661.0
1523137225550,763.6667
1523137225600,226.33333
1523137225650,180.66667
1523137225700,741.0
1523137225750,822.3333
1523137225800,319.0
1523137225850,400.5
1523137225900,59.0
1523137226000,177.75
1523137226050,1036.0
1523137226100,760.4
1523137226150,163.5
1523137226200,837.3333
1523137226250,293.75
1523137226300,46.5
1523137226350,264.4
1523137226400,109.333336
1523137226500,26.0
1523137226550,1678.0
1523137226600,145.0
1523137226650,61.0
1523137226700,24.0
1523137226750,180.0
1523137226850,194.0
1523137226900,78.0
1523137226950,65.5
1523137227000,90.5
1523137227050,586.5
1523137227100,325.75
1523137227150,43.8
1523137227200,12.333333
1523137227250,14.0
1523137227300,599.5
1523137227400,261.0
1523137227450,158.5
1523137227500,147.0
1523137227550,144.33333
1523137227600,2.0
1523137227700,109.0
1523137227750,325.0
1523137227850,194.0
1523137227900,134.0
1523137227950,107.0
1523137228000,98.5
1523137228050,58.666668
1523137228100,217.0
1523137228150,80.0
1523137228200,41.0
1523137228250,133.0
1523137228300,15.5
1523137228350,28.0
1523137228400,1049.3334
1523137228450,11.0
1523137228500,42.75
1523137228550,65.75
1523137228650,11.2
1523137228700,60.25
1523137228750,28.25
1523137228800,559.6667
1523137228850,766.6667
1523137228900,11.5
1523137228950,26.25
1523137229000,25.333334
1523137229050,8.0
1523137229100,17.666666
1523137229150,6.0
1523137229200,14.666667
1523137229250,134.57143
1523137229350,9.0
1523137229400,19.5
1523137229450,4.0
1523137229500,23.666666
1523137229550,11.8
1523137229600,10.5
1523137229650,33.0
1523137229700,35.666668
1523137229750,12.333333
1523137229800,255.0
1523137229850,19.5
1523137229900,47.0
1523137230050,27.5
1523137230100,6.0
1523137230150,22.8
1523137230200,600.6667
1523137230250,38.0
1523137230300,21.0
1523137230350,20.8
1523137230400,19.75
1523137230450,40.5
1523137230500,32.0
1523137230600,17.0
1523137230650,7.0
1523137230700,17.5
1523137230750,9.5
1523137230800,11.0
1523137230850,5.75
1523137230900,6.0
1523137230950,6.0
1523137231000,8.0
1523137231050,10.833333
1523137231100,23.0
1523137231150,5.0
1523137231200,7.0
1523137231250,11.0
1523137231300,208.0
1523137231350,6.4
1523137231400,7.0
1523137231450,6.0
1523137231500,14.666667
1523137231550,9.0
1523137231600,13.0
1523137231650,22.4
1523137231700,10.75
1523137231750,8.0
